instance                   , termination_reason                      , iteration_count, solve_time_sec         , cumulative_kkt_matrix_passes, preprocessing_time_sec, cumulative_rejected_steps
ger50-17-trans-pop-3t      , TERMINATION_REASON_OPTIMAL              ,            9600,    5.836559903         ,                         9615,  0.01010835           ,                        15
bab3                       , TERMINATION_REASON_OPTIMAL              ,           10240,  167.723307255         ,                        10270,  0.184386518          ,                        30
opm2-z10-s4                , TERMINATION_REASON_OPTIMAL              ,            1560,    5.746024538         ,                         1592,  0.037173527000000005 ,                        32
gmut-75-50                 , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           98862,  242.12007150500003    ,                       100000,  0.034109369          ,                      1138
iis-hc-cov                 , TERMINATION_REASON_OPTIMAL              ,             800,    0.355335932         ,                          821,  0.013496717          ,                        21
uccase7                    , TERMINATION_REASON_OPTIMAL              ,            1080,    1.051081068         ,                         1082,  0.01286231           ,                         2
supportcase10              , TERMINATION_REASON_OPTIMAL              ,            8880,   18.826851917000003   ,                         9059,  0.024339331000000002 ,                       179
neos-3402294-bobin         , TERMINATION_REASON_OPTIMAL              ,             200,    3.9202395820000002  ,                          201,  0.158143159          ,                         1
graphdraw-grafo2           , TERMINATION_REASON_OPTIMAL              ,             280,    1.546098801         ,                          288,  0.0511095            ,                         8
buildingenergy             , TERMINATION_REASON_OPTIMAL              ,           18760,  170.877520828         ,                        19231,  0.08787072400000001  ,                       471
wnq-n100-mw99-14           , TERMINATION_REASON_OPTIMAL              ,             640,    6.844031900000001   ,                          669,  0.094710636          ,                        29
neos-5114902-kasavu        , TERMINATION_REASON_OPTIMAL              ,             520,   22.402726175         ,                          542,  0.38869120700000004  ,                        22
neos-876808                , TERMINATION_REASON_OPTIMAL              ,            8640,   37.480395633         ,                         8745,  0.049377596          ,                       105
mushroom-best              , TERMINATION_REASON_OPTIMAL              ,            3880,    2.303564596         ,                         3973,  0.008339260000000001 ,                        93
scpk4                      , TERMINATION_REASON_OPTIMAL              ,             880,    4.608298044         ,                          888,  0.063198341          ,                         8
triptim7                   , TERMINATION_REASON_OPTIMAL              ,           27280,   22.286448264         ,                        27473,  0.012734972          ,                       193
mzzv11                     , TERMINATION_REASON_OPTIMAL              ,           79640,   39.230552579         ,                        79874,  0.017425114000000002 ,                       234
circ10-3                   , TERMINATION_REASON_OPTIMAL              ,             240,    0.37514952300000004 ,                          252,  0.019815332          ,                        12
piperout-d20               , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99977,   73.87646755700001    ,                       100000,  0.010347303          ,                        23
neos-3354841-apure         , TERMINATION_REASON_OPTIMAL              ,            4400,   68.469624466         ,                         4514,  0.200174757          ,                       114
neos-5189128-totara        , TERMINATION_REASON_OPTIMAL              ,               0,    0.073860268         ,                            0,  0.071382336          ,                         0
sp98ic                     , TERMINATION_REASON_OPTIMAL              ,            2240,    0.801792617         ,                         2335,  0.007216205000000001 ,                        95
neos-3695882-vesdre        , TERMINATION_REASON_OPTIMAL              ,             530,    2.589317052         ,                          533,  0.050273046          ,                         3
in                         , TERMINATION_REASON_OPTIMAL              ,            1080,  121.330046944         ,                         1118,  0.7831120100000001   ,                        38
ns930473                   , TERMINATION_REASON_OPTIMAL              ,               0,    0.02055642          ,                            0,  0.019822223          ,                         0
bab6                       , TERMINATION_REASON_OPTIMAL              ,            3920,   22.071004820000002   ,                         3967,  0.06886816500000001  ,                        47
physiciansched3-4          , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99997,  723.753347874         ,                       100000,  0.079937981          ,                         3
satellites2-40             , TERMINATION_REASON_OPTIMAL              ,           64440,   83.070393546         ,                        64467,  0.017307443000000002 ,                        27
fastxgemm-n3r22s4t6        , TERMINATION_REASON_OPTIMAL              ,             560,    3.5952037260000003  ,                          566,  0.062437199000000006 ,                         6
neos-5076235-embley        , TERMINATION_REASON_OPTIMAL              ,             720,    3.2260904200000002  ,                          736,  0.054589431          ,                        16
triptim2                   , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99960,   83.19095224600001    ,                       100000,  0.012790955000000001 ,                        40
sing5                      , TERMINATION_REASON_OPTIMAL              ,            7520,   35.727392678         ,                         7569,  0.050093093000000005 ,                        49
sing11                     , TERMINATION_REASON_OPTIMAL              ,            3280,   18.772573790000003   ,                         3321,  0.057860889000000006 ,                        41
neos-5118851-kowhai        , TERMINATION_REASON_OPTIMAL              ,             680,   24.758152385000002   ,                          699,  0.344134429          ,                        19
fhnw-binschedule2          , TERMINATION_REASON_OPTIMAL              ,            5160,    3.5586097150000002  ,                         5189,  0.011549064000000001 ,                        29
nursesched-sprint02        , TERMINATION_REASON_OPTIMAL              ,            1120,    0.749383875         ,                         1151,  0.019604199000000003 ,                        31
neos-4533806-waima         , TERMINATION_REASON_OPTIMAL              ,           19120,  100.017463645         ,                        19258,  0.065509413          ,                       138
neos-848589                , TERMINATION_REASON_OPTIMAL              ,            4120,   59.281927744         ,                         4125,  0.12966012400000002  ,                         5
scpl4                      , TERMINATION_REASON_OPTIMAL              ,            1680,   18.17044827          ,                         1699,  0.129785377          ,                        19
mzzv42z                    , TERMINATION_REASON_OPTIMAL              ,           41120,   23.780546404000003   ,                        41376,  0.01954227           ,                       256
dolom1                     , TERMINATION_REASON_OPTIMAL              ,               0,    0.011050682000000001,                            0,  0.010644897          ,                         0
gfd-schedulen180f7d50m30k18, TERMINATION_REASON_OPTIMAL              ,            2560,   38.695523059         ,                         2567,  0.145064679          ,                         7
neos-5123665-limmat        , TERMINATION_REASON_OPTIMAL              ,            2360,   86.89357773          ,                         2372,  0.37150970600000005  ,                        12
gmut-76-40                 , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           98786,   61.208863185000006   ,                       100000,  0.014066282000000001 ,                      1214
woodlands09                , TERMINATION_REASON_OPTIMAL              ,            1960,   22.048064811000003   ,                         1963,  0.100682667          ,                         3
square23                   , TERMINATION_REASON_OPTIMAL              ,           13000,   17.629020632000003   ,                        13272,  0.022389567000000003 ,                       272
neos-3209462-rhin          , TERMINATION_REASON_OPTIMAL              ,             600,    2.764671843         ,                          609,  0.046230482          ,                         9
n2seq36q                   , TERMINATION_REASON_OPTIMAL              ,            1200,    0.9128849970000001  ,                         1212,  0.013429592          ,                        12
fhnw-schedule-pairb400     , TERMINATION_REASON_OPTIMAL              ,            1120,   15.068098703         ,                         1144,  0.126981609          ,                        24
leo1                       , TERMINATION_REASON_PRIMAL_INFEASIBLE    ,              40,    0.063452432         ,                           46,  0.010952627000000001 ,                         6
shs1023                    , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99142, 1266.121611771         ,                       100000,  0.124093272          ,                       858
unitcal_7                  , TERMINATION_REASON_OPTIMAL              ,           22920,   12.685706554000001   ,                        22923,  0.007760539          ,                         3
neos-3237086-abava         , TERMINATION_REASON_OPTIMAL              ,             200,    0.5907423920000001  ,                          205,  0.025271934000000003 ,                         5
cmflsp40-36-2-10           , TERMINATION_REASON_OPTIMAL              ,            1880,    2.666696806         ,                         1937,  0.018609512          ,                        57
satellites2-60-fs          , TERMINATION_REASON_OPTIMAL              ,           61120,   50.224560131000004   ,                        61140,  0.02210517           ,                        20
30n20b8                    , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99997,   40.228645725         ,                       100000,  0.015124773000000001 ,                         3
rmine25                    , TERMINATION_REASON_OPTIMAL              ,            3800,  400.27217301          ,                         3809,  0.76915372           ,                         9
neos-3322547-alsek         , TERMINATION_REASON_OPTIMAL              ,            2440,   66.67613927000001    ,                         2478,  0.240330916          ,                        38
dc1l                       , TERMINATION_REASON_OPTIMAL              ,            2920,    5.194357771000001   ,                         2972,  0.023431021          ,                        52
ns1644855                  , TERMINATION_REASON_OPTIMAL              ,           18360,  118.78502149          ,                        18754,  0.085928899          ,                       394
academictimetablebig       , TERMINATION_REASON_OPTIMAL              ,            1760,   17.120685417         ,                         1787,  0.10192089700000001  ,                        27
sorrell3                   , TERMINATION_REASON_OPTIMAL              ,              80,    0.336466402         ,                           82,  0.020000612          ,                         2
map14860-20                , TERMINATION_REASON_OPTIMAL              ,            7600,   73.877112711         ,                         7642,  0.104032283          ,                        42
