instance                   , termination_reason                      , iteration_count, solve_time_sec         , cumulative_kkt_matrix_passes, preprocessing_time_sec, cumulative_rejected_steps
ger50-17-trans-pop-3t      , TERMINATION_REASON_OPTIMAL              ,           13960,   3.885243405          ,                        14191,  0.005512042          ,                       231
bab3                       , TERMINATION_REASON_OPTIMAL              ,           10840,  91.29327294000001     ,                        10942,  0.104943382          ,                       102
opm2-z10-s4                , TERMINATION_REASON_OPTIMAL              ,            1600,   2.6907633260000003   ,                         1646,  0.018989571          ,                        46
gmut-75-50                 , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           98567, 116.729303453          ,                       100000,  0.018745353000000003 ,                      1433
iis-hc-cov                 , TERMINATION_REASON_OPTIMAL              ,             960,   0.178955419          ,                          997,  0.0035373860000000004,                        37
uccase7                    , TERMINATION_REASON_OPTIMAL              ,             880,   0.745389603          ,                          893,  0.012629978          ,                        13
supportcase10              , TERMINATION_REASON_OPTIMAL              ,           11000,  20.012042611000002    ,                        11223,  0.023980495          ,                       223
neos-3402294-bobin         , TERMINATION_REASON_OPTIMAL              ,             200,   1.8965610830000001   ,                          203,  0.08670873300000001  ,                         3
graphdraw-grafo2           , TERMINATION_REASON_OPTIMAL              ,             360,   0.857493437          ,                          369,  0.02657133           ,                         9
buildingenergy             , TERMINATION_REASON_OPTIMAL              ,           10160,  40.36932913           ,                        10478,  0.045867159000000005 ,                       318
wnq-n100-mw99-14           , TERMINATION_REASON_OPTIMAL              ,            1360,  11.135191479          ,                         1419,  0.09296523400000001  ,                        59
neos-5114902-kasavu        , TERMINATION_REASON_OPTIMAL              ,             480,   9.980915133000002    ,                          499,  0.207805755          ,                        19
neos-876808                , TERMINATION_REASON_OPTIMAL              ,           10920,  22.793686049          ,                        11122,  0.026592265          ,                       202
mushroom-best              , TERMINATION_REASON_OPTIMAL              ,            4560,   1.114825086          ,                         4688,  0.00493809           ,                       128
scpk4                      , TERMINATION_REASON_OPTIMAL              ,            1240,   3.9513419290000003   ,                         1261,  0.039135223000000004 ,                        21
triptim7                   , TERMINATION_REASON_OPTIMAL              ,           28200,  20.571004373          ,                        28487,  0.012697649          ,                       287
mzzv11                     , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99606,  27.406469307000002    ,                       100000,  0.004367939          ,                       394
circ10-3                   , TERMINATION_REASON_OPTIMAL              ,             240,   0.148313526          ,                          252,  0.008592208          ,                        12
piperout-d20               , TERMINATION_REASON_OPTIMAL              ,           53240,  16.652412654000003    ,                        53563,  0.005404197          ,                       323
neos-3354841-apure         , TERMINATION_REASON_OPTIMAL              ,            5120,  47.999934351          ,                         5309,  0.13566956100000002  ,                       189
neos-5189128-totara        , TERMINATION_REASON_OPTIMAL              ,               0,   0.040283022          ,                            0,  0.038968375          ,                         0
sp98ic                     , TERMINATION_REASON_OPTIMAL              ,            4378,   1.4753350010000001   ,                         4539,  0.007112621          ,                       161
neos-3695882-vesdre        , TERMINATION_REASON_OPTIMAL              ,             360,   0.835957111          ,                          363,  0.025611227          ,                         3
in                         , TERMINATION_REASON_OPTIMAL              ,            1440,  68.153136471          ,                         1490,  0.42675883000000003  ,                        50
ns930473                   , TERMINATION_REASON_OPTIMAL              ,               0,   0.005613444          ,                            0,  0.005444409000000001 ,                         0
bab6                       , TERMINATION_REASON_OPTIMAL              ,            5560,  16.184467594          ,                         5659,  0.03920247           ,                        99
