instance                 , termination_reason                  , iteration_count, solve_time_sec       , cumulative_kkt_matrix_passes, preprocessing_time_sec, cumulative_rejected_steps
supportcase23            , TERMINATION_REASON_OPTIMAL          ,            2080,  4.125435896         ,                         2083,   0.016985513         ,                         3
neos-1122047             , TERMINATION_REASON_ITERATION_LIMIT  ,           10000, 16.150461807         ,                        10110,   0.015193623000000002,                       110
neos-5188808-nattai      , TERMINATION_REASON_OPTIMAL          ,             160,  0.259134896         ,                          161,   0.010490855         ,                         1
blp-ic97                 , TERMINATION_REASON_OPTIMAL          ,            3880,  1.845424356         ,                         3971,   0.004672716         ,                        91
cmflsp50-24-8-8          , TERMINATION_REASON_OPTIMAL          ,            1600,  1.411701409         ,                         1672,   0.00753919          ,                        72
iis-hc-cov               , TERMINATION_REASON_OPTIMAL          ,            2080,  1.077388195         ,                         2115,   0.005756916         ,                        35
neos-5251015-ogosta      , TERMINATION_REASON_OPTIMAL          ,             360,  7.856321765000001   ,                          364,   0.170298631         ,                         4
graph40-20-1rand         , TERMINATION_REASON_OPTIMAL          ,             200,  1.032290053         ,                          202,   0.029559165000000002,                         2
roi5alpha10n8            , TERMINATION_REASON_OPTIMAL          ,            2000, 16.826040964         ,                         2065,   0.09639700600000001 ,                        65
supportcase37            , TERMINATION_REASON_ITERATION_LIMIT  ,           10000, 20.459809264         ,                        10158,   0.01720135          ,                       158
fastxgemm-n3r22s4t6      , TERMINATION_REASON_OPTIMAL          ,            1040,  8.629561634         ,                         1060,   0.06985419100000001 ,                        20
ger50-17-trans-pop-3t    , TERMINATION_REASON_OPTIMAL          ,            8800,  8.712731718         ,                         8842,   0.01083004          ,                        42
dc1l                     , TERMINATION_REASON_OPTIMAL          ,            3760,  8.254903864         ,                         3857,   0.023767838000000003,                        97
neos-5116085-kenana      , TERMINATION_REASON_OPTIMAL          ,            1040, 47.521095478         ,                         1061,   0.28624449900000004 ,                        21
supportcase40            , TERMINATION_REASON_OPTIMAL          ,             720,  1.300484811         ,                          734,   0.010257572000000001,                        14
nj2                      , TERMINATION_REASON_OPTIMAL          ,               0,  0.04183426800000001 ,                            0,   0.040447578000000005,                         0
neos-5083528-gimone      , TERMINATION_REASON_OPTIMAL          ,             240,  0.839583019         ,                          249,   0.024198415         ,                         9
neos-4322846-ryton       , TERMINATION_REASON_OPTIMAL          ,            4160, 27.308042720000003   ,                         4215,   0.044837981000000006,                        55
seqsolve2short4288       , TERMINATION_REASON_OPTIMAL          ,            3520, 53.39862028300001    ,                         3568,   0.12102894          ,                        48
leo1                     , TERMINATION_REASON_PRIMAL_INFEASIBLE,              80,  0.050077974000000004,                           87,   0.004798635         ,                         7
neos-4966258-blicks      , TERMINATION_REASON_OPTIMAL          ,            2120, 29.102153546000004   ,                         2147,   0.095712374         ,                        27
nj1                      , TERMINATION_REASON_OPTIMAL          ,               0,  0.040205068000000004,                            0,   0.037838815000000005,                         0
cryptanalysiskb128n5obj16, TERMINATION_REASON_OPTIMAL          ,            2280,  9.755697739         ,                         2289,   0.031233024         ,                         9
neos-5266653-tugela      , TERMINATION_REASON_OPTIMAL          ,            1400,  1.9420823360000001  ,                         1441,   0.012906833000000001,                        41
nursesched-medium-hint03 , TERMINATION_REASON_OPTIMAL          ,            7080, 17.627470224         ,                         7134,   0.029060485         ,                        54
neos-957143              , TERMINATION_REASON_OPTIMAL          ,            1040,  2.8397878880000005  ,                         1052,   0.026451487000000003,                        12
ci-s4                    , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,  6.838258223         ,                        10002,   0.007431923000000001,                         2
ns2122698                , TERMINATION_REASON_OPTIMAL          ,            9760, 79.72357210800001    ,                         9762,   0.065103495         ,                         2
cmflsp60-36-2-6          , TERMINATION_REASON_OPTIMAL          ,            2960,  8.722286869000001   ,                         3047,   0.025195179         ,                        87
neos-885524              , TERMINATION_REASON_OPTIMAL          ,             120,  0.653430296         ,                          126,   0.029281319         ,                         6
neos-4754521-awarau      , TERMINATION_REASON_OPTIMAL          ,               0,  0.097641473         ,                            0,   0.09315340100000001 ,                         0
thor50dday               , TERMINATION_REASON_OPTIMAL          ,            3680, 18.920805679         ,                         3774,   0.033219338         ,                        94
dws008-03                , TERMINATION_REASON_OPTIMAL          ,             400,  0.643071342         ,                          401,   0.012034023000000001,                         1
neos-3755335-nizao       , TERMINATION_REASON_OPTIMAL          ,            1160,  5.768153746         ,                         1230,   0.052965573         ,                        70
ns930473                 , TERMINATION_REASON_OPTIMAL          ,               0,  0.011101579         ,                            0,   0.010824951000000001,                         0
cmflsp40-36-2-10         , TERMINATION_REASON_OPTIMAL          ,            2440,  4.556888033         ,                         2516,   0.018134236         ,                        76
sing326                  , TERMINATION_REASON_ITERATION_LIMIT  ,           10000, 31.835750994         ,                        10102,   0.027722146000000003,                       102
d20200                   , TERMINATION_REASON_OPTIMAL          ,            6840,  3.996804222         ,                         7121,   0.007476189         ,                       281
neos-5044663-wairoa      , TERMINATION_REASON_ITERATION_LIMIT  ,           10000, 37.790021486         ,                        10320,   0.033161508         ,                       320
neos-957323              , TERMINATION_REASON_OPTIMAL          ,            1040,  3.18301715          ,                         1079,   0.025068701000000002,                        39
neos-960392              , TERMINATION_REASON_OPTIMAL          ,            1360,  3.041562717         ,                         1382,   0.017478861000000002,                        22
rocII-8-11               , TERMINATION_REASON_OPTIMAL          ,            6120, 14.401722229         ,                         6184,   0.029142101         ,                        64
piperout-d27             , TERMINATION_REASON_ITERATION_LIMIT  ,           10000, 12.930588684000002   ,                        10137,   0.013921565         ,                       137
blp-ic98                 , TERMINATION_REASON_OPTIMAL          ,            4280,  3.542483697         ,                         4442,   0.007684979000000001,                       162
rocII-10-11              , TERMINATION_REASON_OPTIMAL          ,            5560, 18.792614977000003   ,                         5649,   0.031815937         ,                        89
neos-3237086-abava       , TERMINATION_REASON_OPTIMAL          ,             200,  0.8927771430000001  ,                          204,   0.026308357         ,                         4
neos-498623              , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,  6.372253683         ,                        10369,   0.007890858         ,                       369
ns1856153                , TERMINATION_REASON_OPTIMAL          ,              80,  0.16512015100000002 ,                           84,   0.010004843000000001,                         4
neos-3437289-erdre       , TERMINATION_REASON_OPTIMAL          ,               0,  0.007343175         ,                            0,   0.007063402000000001,                         0
leo2                     , TERMINATION_REASON_PRIMAL_INFEASIBLE,              40,  0.060216324         ,                           42,   0.010927135000000001,                         2
neos-3555904-turama      , TERMINATION_REASON_OPTIMAL          ,            2000, 12.376521786         ,                         2005,   0.067450865         ,                         5
