instance,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,preprocessing_time_sec,cumulative_rejected_steps
supportcase23,TERMINATION_REASON_OPTIMAL,1920,4.1950148060000005,1922,0.039125266000000006,2
neos-1122047,TERMINATION_REASON_ITERATION_LIMIT,10000,17.030221113,10010,0.022978265,10
neos-5188808-nattai,TERMINATION_REASON_OPTIMAL,160,0.255784145,161,0.010106982,1
blp-ic97,TERMINATION_REASON_OPTIMAL,3520,1.7739334350000002,3549,0.006530756,29
cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,1280,1.2096900160000001,1318,0.008109536,38
iis-hc-cov,TERMINATION_REASON_OPTIMAL,1000,0.518066153,1024,0.0058909900000000005,24
neos-5251015-ogosta,TERMINATION_REASON_OPTIMAL,200,3.7176488580000004,204,0.17183114000000002,4
graph40-20-1rand,TERMINATION_REASON_OPTIMAL,100,0.5971002870000001,102,0.036007645000000005,2
roi5alpha10n8,TERMINATION_REASON_OPTIMAL,1520,14.279986114000002,1551,0.10473932100000001,31
supportcase37,TERMINATION_REASON_ITERATION_LIMIT,10000,20.226700177999998,10113,0.01979006,113
fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,600,5.0468784840000005,604,0.07262840200000001,4
ger50-17-trans-pop-3t,TERMINATION_REASON_OPTIMAL,2240,2.1615788690000004,2244,0.009890614,4
dc1l,TERMINATION_REASON_OPTIMAL,3240,7.011024778000001,3285,0.023356395000000002,45
neos-5116085-kenana,TERMINATION_REASON_OPTIMAL,360,15.341274379000001,370,0.30636698500000004,10
supportcase40,TERMINATION_REASON_OPTIMAL,1160,1.7990198590000002,1166,0.014793486000000002,6
nj2,TERMINATION_REASON_OPTIMAL,0,0.05883671700000001,0,0.05725099300000001,0
neos-5083528-gimone,TERMINATION_REASON_OPTIMAL,240,0.7856595980000001,247,0.022527002,7
neos-4322846-ryton,TERMINATION_REASON_OPTIMAL,1480,10.628901914,1509,0.06008891400000001,29
seqsolve2short4288,TERMINATION_REASON_OPTIMAL,2200,33.796712305,2221,0.128843325,21
leo1,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.034854147,43,0.0061737300000000005,3
neos-4966258-blicks,TERMINATION_REASON_OPTIMAL,1760,25.525122202000002,1793,0.119975572,33
nj1,TERMINATION_REASON_OPTIMAL,0,0.037691722000000004,0,0.036424346,0
cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,760,2.317338932,766,0.052152638,6
neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,920,1.3776266190000002,930,0.015150947000000001,10
nursesched-medium-hint03,TERMINATION_REASON_OPTIMAL,3400,8.911928448000001,3432,0.030904423,32
neos-957143,TERMINATION_REASON_OPTIMAL,560,1.723240189,568,0.032367157,8
ci-s4,TERMINATION_REASON_ITERATION_LIMIT,10000,7.398035765,10001,0.007614422000000001,1
ns2122698,TERMINATION_REASON_OPTIMAL,2440,18.921904812,2442,0.062455340000000005,2
cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,2280,6.141807011000001,2349,0.030114032000000002,69
neos-885524,TERMINATION_REASON_OPTIMAL,120,0.532950463,127,0.026881387000000003,7
neos-4754521-awarau,TERMINATION_REASON_OPTIMAL,0,0.101953919,0,0.09871705700000001,0
thor50dday,TERMINATION_REASON_OPTIMAL,3160,13.614355117,3253,0.029831992,93
dws008-03,TERMINATION_REASON_OPTIMAL,400,0.598675158,401,0.012194088,1
neos-3755335-nizao,TERMINATION_REASON_OPTIMAL,280,1.62993761,304,0.041153714,24
ns930473,TERMINATION_REASON_OPTIMAL,0,0.012101099,0,0.011775058000000001,0
cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,1920,3.446860453,1977,0.018172576000000003,57
sing326,TERMINATION_REASON_ITERATION_LIMIT,10000,28.818025115000005,10060,0.028048593,60
d20200,TERMINATION_REASON_OPTIMAL,1800,1.0324372750000002,1891,0.006307191,91
neos-5044663-wairoa,TERMINATION_REASON_ITERATION_LIMIT,10000,37.177555084,10282,0.032491007,282
neos-957323,TERMINATION_REASON_OPTIMAL,1080,3.1309001220000003,1094,0.028314802000000003,14
neos-960392,TERMINATION_REASON_OPTIMAL,1480,3.414237024,1491,0.018135172,11
rocII-8-11,TERMINATION_REASON_OPTIMAL,4840,11.679803648000002,4845,0.030838291,5
piperout-d27,TERMINATION_REASON_ITERATION_LIMIT,10000,13.475255615000002,10005,0.014511792,5
blp-ic98,TERMINATION_REASON_OPTIMAL,4640,3.728542404,4685,0.009394570000000001,45
rocII-10-11,TERMINATION_REASON_OPTIMAL,3520,10.509400011,3524,0.032708927,4
neos-3237086-abava,TERMINATION_REASON_OPTIMAL,200,0.849001466,205,0.029588733000000002,5
neos-498623,TERMINATION_REASON_OPTIMAL,2280,1.5647592300000002,2374,0.007940904,94
ns1856153,TERMINATION_REASON_OPTIMAL,80,0.15576008600000002,84,0.012075770000000001,4
neos-3437289-erdre,TERMINATION_REASON_OPTIMAL,0,0.007182583000000001,0,0.006944296000000001,0
leo2,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.06312429,47,0.011759105,7
neos-3555904-turama,TERMINATION_REASON_OPTIMAL,840,6.229607809000001,843,0.07190995900000001,3
neos-525149,TERMINATION_REASON_OPTIMAL,800,6.144545173,819,0.081466536,19
