instance,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,preprocessing_time_sec,cumulative_rejected_steps
supportcase23,TERMINATION_REASON_OPTIMAL,1600,2.92385477,1603,0.015146982000000002,3
neos-1122047,TERMINATION_REASON_ITERATION_LIMIT,10000,15.23075437,10002,0.013999207000000001,2
neos-5188808-nattai,TERMINATION_REASON_OPTIMAL,160,0.246087611,162,0.010347317,2
blp-ic97,TERMINATION_REASON_OPTIMAL,3080,1.4635125660000003,3098,0.004847674000000001,18
cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,1360,1.1706489460000002,1375,0.008076868000000001,15
iis-hc-cov,TERMINATION_REASON_OPTIMAL,1160,-0.40891619500000004,1170,0.006206704,10
neos-5251015-ogosta,TERMINATION_REASON_OPTIMAL,160,3.786737727,164,0.161314899,4
graph40-20-1rand,TERMINATION_REASON_OPTIMAL,100,0.541293006,101,0.028976626000000002,1
roi5alpha10n8,TERMINATION_REASON_OPTIMAL,1400,12.071779713,1419,0.094465066,19
supportcase37,TERMINATION_REASON_ITERATION_LIMIT,10000,20.103345230000002,10074,0.015713295000000002,74
fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,760,6.255066249,763,0.06816894800000001,3
ger50-17-trans-pop-3t,TERMINATION_REASON_OPTIMAL,4560,4.80764816,4563,0.013073039000000002,3
dc1l,TERMINATION_REASON_OPTIMAL,3160,6.875530652000001,3187,0.024741556,27
neos-5116085-kenana,TERMINATION_REASON_OPTIMAL,600,24.710576131,616,0.292845845,16
supportcase40,TERMINATION_REASON_OPTIMAL,800,1.203464112,804,0.010771819,4
nj2,TERMINATION_REASON_OPTIMAL,0,0.044588777,0,0.042831213,0
neos-5083528-gimone,TERMINATION_REASON_OPTIMAL,200,0.686256092,204,0.022475638000000003,4
neos-4322846-ryton,TERMINATION_REASON_OPTIMAL,1360,8.572941792000002,1365,0.047825894,5
seqsolve2short4288,TERMINATION_REASON_OPTIMAL,2440,36.966526415,2450,0.11807735700000001,10
leo1,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.034256165,44,0.004887359,4
neos-4966258-blicks,TERMINATION_REASON_OPTIMAL,1610,22.679506797000002,1656,0.100262498,46
nj1,TERMINATION_REASON_OPTIMAL,0,0.037249696000000006,0,0.035956116,0
cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,640,2.972021898,648,0.031177169,8
neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,440,0.704384201,444,0.012377514000000001,4
nursesched-medium-hint03,TERMINATION_REASON_OPTIMAL,2680,7.381674016000001,2702,0.030078025,22
neos-957143,TERMINATION_REASON_OPTIMAL,600,1.776769804,602,0.028187005,2
ci-s4,TERMINATION_REASON_ITERATION_LIMIT,10000,8.04508826,10027,0.0076928510000000005,27
ns2122698,TERMINATION_REASON_OPTIMAL,3400,26.925257452000004,3402,0.057499007000000005,2
cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,2520,5.838738061,2559,0.028649948,39
neos-885524,TERMINATION_REASON_OPTIMAL,100,0.47071716900000005,107,0.025979461000000002,7
neos-4754521-awarau,TERMINATION_REASON_OPTIMAL,0,0.090584818,0,0.086107212,0
thor50dday,TERMINATION_REASON_OPTIMAL,3400,15.656611357000001,3444,0.031271771000000004,44
dws008-03,TERMINATION_REASON_OPTIMAL,280,0.46211234300000004,283,0.013441393000000001,3
neos-3755335-nizao,TERMINATION_REASON_OPTIMAL,320,1.8022952110000001,342,0.042422851000000004,22
ns930473,TERMINATION_REASON_OPTIMAL,0,0.01172192,0,0.011316842,0
cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,1960,3.581627474,1977,0.019733180000000003,17
sing326,TERMINATION_REASON_ITERATION_LIMIT,10000,29.468157768,10007,0.025098431,7
d20200,TERMINATION_REASON_OPTIMAL,1520,0.981127199,1598,0.006647966000000001,78
neos-5044663-wairoa,TERMINATION_REASON_ITERATION_LIMIT,10000,37.383484205,10178,0.032936541,178
neos-957323,TERMINATION_REASON_OPTIMAL,920,2.994262775,933,0.027865076000000003,13
neos-960392,TERMINATION_REASON_OPTIMAL,2200,5.676860014,2204,0.018490986,4
rocII-8-11,TERMINATION_REASON_OPTIMAL,4760,12.781676624000001,4761,0.033247877,1
piperout-d27,TERMINATION_REASON_ITERATION_LIMIT,10000,13.089037575,10013,0.01249185,13
blp-ic98,TERMINATION_REASON_OPTIMAL,5880,4.927087667,5912,0.008260960000000001,32
rocII-10-11,TERMINATION_REASON_OPTIMAL,3520,11.791832884000002,3523,0.033342075,3
neos-3237086-abava,TERMINATION_REASON_OPTIMAL,200,0.8372347750000001,204,0.026226304000000002,4
neos-498623,TERMINATION_REASON_OPTIMAL,2240,1.685465175,2302,0.006112714,62
ns1856153,TERMINATION_REASON_OPTIMAL,120,0.230986663,124,0.011173229000000002,4
neos-3437289-erdre,TERMINATION_REASON_OPTIMAL,0,0.008860096,0,0.008553036,0
leo2,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.07696938600000001,47,0.011555877,7
neos-3555904-turama,TERMINATION_REASON_OPTIMAL,760,5.395842751,763,0.058351621000000006,3
neos-525149,TERMINATION_REASON_OPTIMAL,760,5.408022028,784,0.073174757,24
