instance,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,preprocessing_time_sec,cumulative_rejected_steps
supportcase23,TERMINATION_REASON_OPTIMAL,1480,3.4428871030000003,1483,0.015453824000000001,3
neos-1122047,TERMINATION_REASON_ITERATION_LIMIT,10000,17.31492391,10013,0.016279038000000003,13
neos-5188808-nattai,TERMINATION_REASON_OPTIMAL,160,0.280717171,161,0.012559169,1
blp-ic97,TERMINATION_REASON_OPTIMAL,3320,1.765774633,3348,0.005967704000000001,28
cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,1400,1.3882144280000002,1429,0.009267495,29
iis-hc-cov,TERMINATION_REASON_OPTIMAL,1200,0.6793370150000001,1223,0.006976622,23
neos-5251015-ogosta,TERMINATION_REASON_OPTIMAL,320,7.748804336000001,324,0.18445596,4
graph40-20-1rand,TERMINATION_REASON_OPTIMAL,40,0.379258212,41,0.034234238,1
roi5alpha10n8,TERMINATION_REASON_OPTIMAL,1200,10.670931688000001,1218,0.110197052,18
supportcase37,TERMINATION_REASON_OPTIMAL,6280,14.688985706000002,6351,0.018197149000000003,71
fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,520,5.034136145000001,524,0.071673578,4
ger50-17-trans-pop-3t,TERMINATION_REASON_ITERATION_LIMIT,10000,9.881507279000001,10004,0.009369185,4
dc1l,TERMINATION_REASON_OPTIMAL,3520,8.93593167,3567,0.026073170000000003,47
neos-5116085-kenana,TERMINATION_REASON_OPTIMAL,440,19.082419679,451,0.325171453,11
supportcase40,TERMINATION_REASON_OPTIMAL,680,1.244382401,682,0.012707372000000001,2
nj2,TERMINATION_REASON_OPTIMAL,0,0.053772728,0,0.05202263,0
neos-5083528-gimone,TERMINATION_REASON_OPTIMAL,200,0.820271729,203,0.027491414000000002,3
neos-4322846-ryton,TERMINATION_REASON_OPTIMAL,1560,13.223806756,1589,0.051710067000000005,29
seqsolve2short4288,TERMINATION_REASON_OPTIMAL,1920,33.672802870000005,1925,0.12297529600000001,5
leo1,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.038056404,44,0.005883837,4
neos-4966258-blicks,TERMINATION_REASON_OPTIMAL,1440,22.129554659000004,1475,0.114901235,35
nj1,TERMINATION_REASON_OPTIMAL,0,0.041688868000000004,0,0.040164994,0
cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,680,3.8642116220000005,685,0.037864287,5
neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,880,1.497195657,885,0.013481505000000001,5
nursesched-medium-hint03,TERMINATION_REASON_OPTIMAL,2440,6.885554728,2468,0.033895058,28
neos-957143,TERMINATION_REASON_OPTIMAL,520,1.8271110930000003,521,0.028597761000000003,1
ci-s4,TERMINATION_REASON_ITERATION_LIMIT,10000,8.586364995,10001,0.009747083,1
ns2122698,TERMINATION_REASON_OPTIMAL,4160,38.195328608,4162,0.06321704,2
cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,2080,6.767232725,2116,0.028842930000000003,36
neos-885524,TERMINATION_REASON_OPTIMAL,120,0.596824832,125,0.026371177000000003,5
neos-4754521-awarau,TERMINATION_REASON_OPTIMAL,0,0.096897358,0,0.09398716,0
thor50dday,TERMINATION_REASON_OPTIMAL,2680,14.786086642,2732,0.034819442,52
dws008-03,TERMINATION_REASON_OPTIMAL,360,0.6938163920000001,361,0.014655449000000001,1
neos-3755335-nizao,TERMINATION_REASON_OPTIMAL,120,0.9133260890000001,127,0.049212459,7
ns930473,TERMINATION_REASON_OPTIMAL,0,0.009713791,0,0.009375912,0
cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,1440,3.0050117600000004,1475,0.020421734,35
sing326,TERMINATION_REASON_ITERATION_LIMIT,10000,34.057435169,10022,0.028718632,22
d20200,TERMINATION_REASON_OPTIMAL,1520,1.055875351,1601,0.007997038,81
neos-5044663-wairoa,TERMINATION_REASON_ITERATION_LIMIT,10000,37.756021576,10268,0.037631095,268
neos-957323,TERMINATION_REASON_OPTIMAL,880,2.9904625760000005,889,0.028512409000000002,9
neos-960392,TERMINATION_REASON_OPTIMAL,1360,3.353918827,1362,0.018498942,2
rocII-8-11,TERMINATION_REASON_OPTIMAL,3080,9.263011326,3085,0.030553927,5
piperout-d27,TERMINATION_REASON_ITERATION_LIMIT,10000,13.475096625,10006,0.013073862,6
blp-ic98,TERMINATION_REASON_OPTIMAL,4760,4.297561796,4789,0.008113987000000001,29
rocII-10-11,TERMINATION_REASON_OPTIMAL,3400,12.772125707,3405,0.037485457,5
neos-3237086-abava,TERMINATION_REASON_OPTIMAL,200,0.942335236,204,0.028007257,4
neos-498623,TERMINATION_REASON_OPTIMAL,2200,1.5268531260000002,2267,0.006269944,67
ns1856153,TERMINATION_REASON_OPTIMAL,120,0.21714622800000002,123,0.014247527000000001,3
neos-3437289-erdre,TERMINATION_REASON_OPTIMAL,0,0.010529563,0,0.010232569,0
leo2,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.072646638,46,0.010931185000000001,6
neos-3555904-turama,TERMINATION_REASON_OPTIMAL,800,5.994119990000001,803,0.059659768,3
neos-525149,TERMINATION_REASON_OPTIMAL,600,3.8064388310000004,617,0.088363444,17
