instance,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,preprocessing_time_sec,cumulative_rejected_steps
supportcase23,TERMINATION_REASON_OPTIMAL,2080,4.023589172,2083,0.0138049,3
neos-1122047,TERMINATION_REASON_ITERATION_LIMIT,10000,15.590114620000001,10050,0.013518696,50
neos-5188808-nattai,TERMINATION_REASON_OPTIMAL,120,0.20614168400000002,121,0.010198188,1
blp-ic97,TERMINATION_REASON_OPTIMAL,5400,2.5010736270000002,5411,0.004715197,11
cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,2800,2.54742614,2836,0.007301964,36
iis-hc-cov,TERMINATION_REASON_OPTIMAL,1560,0.8362161910000001,1573,0.005390756,13
neos-5251015-ogosta,TERMINATION_REASON_OPTIMAL,240,5.233548605,243,0.162134204,3
graph40-20-1rand,TERMINATION_REASON_OPTIMAL,160,0.8000762260000001,161,0.031977255,1
roi5alpha10n8,TERMINATION_REASON_OPTIMAL,2120,17.625399887,2157,0.10485545800000001,37
supportcase37,TERMINATION_REASON_ITERATION_LIMIT,10000,22.623810133000003,10076,0.01767946,76
fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,640,5.4817375020000005,644,0.08070545900000001,4
ger50-17-trans-pop-3t,TERMINATION_REASON_OPTIMAL,5200,5.27433249,5218,0.010425519000000001,18
dc1l,TERMINATION_REASON_OPTIMAL,4720,10.69927505,4821,0.022378308000000003,101
neos-5116085-kenana,TERMINATION_REASON_OPTIMAL,1040,44.037790197,1056,0.283855521,16
supportcase40,TERMINATION_REASON_OPTIMAL,1120,1.768148636,1125,0.012196275000000001,5
nj2,TERMINATION_REASON_OPTIMAL,0,0.044005957000000005,0,0.042335700000000004,0
neos-5083528-gimone,TERMINATION_REASON_OPTIMAL,200,0.7451252030000001,202,0.022440608,2
neos-4322846-ryton,TERMINATION_REASON_OPTIMAL,3040,20.462907228000002,3048,0.046020882000000006,8
seqsolve2short4288,TERMINATION_REASON_OPTIMAL,4120,62.601060168000004,4132,0.110959022,12
leo1,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.034029008,45,0.005245135000000001,5
neos-4966258-blicks,TERMINATION_REASON_OPTIMAL,2080,29.388740433000002,2107,0.100789974,27
nj1,TERMINATION_REASON_OPTIMAL,0,0.037625415,0,0.036156206,0
cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,1480,6.809224224,1486,0.029381269,6
neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,680,1.1112154740000002,685,0.0126995,5
nursesched-medium-hint03,TERMINATION_REASON_OPTIMAL,3640,10.561105588,3678,0.029646514000000002,38
neos-957143,TERMINATION_REASON_OPTIMAL,2080,6.237697036000001,2082,0.026689795000000002,2
ci-s4,TERMINATION_REASON_ITERATION_LIMIT,10000,8.571856127,10000,0.008154005,0
ns2122698,TERMINATION_REASON_ITERATION_LIMIT,10000,83.141163879,10002,0.056164282,2
cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,2480,6.4373259350000005,2520,0.027688816,40
neos-885524,TERMINATION_REASON_OPTIMAL,120,0.6124868210000001,126,0.024719642,6
neos-4754521-awarau,TERMINATION_REASON_OPTIMAL,0,0.088966739,0,0.085374216,0
thor50dday,TERMINATION_REASON_OPTIMAL,5200,26.013582154,5307,0.029855088000000002,107
dws008-03,TERMINATION_REASON_OPTIMAL,360,0.630088207,361,0.014274189000000001,1
neos-3755335-nizao,TERMINATION_REASON_OPTIMAL,2080,10.992009367,2160,0.044455429000000005,80
ns930473,TERMINATION_REASON_OPTIMAL,0,0.010785462000000001,0,0.010500038000000001,0
cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,4120,8.039533148,4164,0.018635759000000002,44
sing326,TERMINATION_REASON_ITERATION_LIMIT,10000,34.398887554,10091,0.024975465000000002,91
d20200,TERMINATION_REASON_OPTIMAL,8280,5.245639205000001,8585,0.00683785,305
neos-5044663-wairoa,TERMINATION_REASON_ITERATION_LIMIT,10000,37.934460192,10285,0.03230837,285
neos-957323,TERMINATION_REASON_OPTIMAL,4840,15.440670253,4860,0.027808896000000003,20
neos-960392,TERMINATION_REASON_OPTIMAL,2360,5.788407444000001,2363,0.017739681,3
rocII-8-11,TERMINATION_REASON_ITERATION_LIMIT,10000,27.33781709,10003,0.026185626,3
piperout-d27,TERMINATION_REASON_ITERATION_LIMIT,10000,13.698029737,10004,0.014102699000000002,4
blp-ic98,TERMINATION_REASON_ITERATION_LIMIT,10000,8.687899127,10092,0.00912698,92
rocII-10-11,TERMINATION_REASON_ITERATION_LIMIT,10000,32.982677568,10010,0.034268968000000004,10
neos-3237086-abava,TERMINATION_REASON_OPTIMAL,240,1.0527360580000003,242,0.026589224,2
neos-498623,TERMINATION_REASON_OPTIMAL,6360,4.206326684,6561,0.006071535,201
ns1856153,TERMINATION_REASON_OPTIMAL,120,0.21670032,123,0.010681647,3
neos-3437289-erdre,TERMINATION_REASON_OPTIMAL,0,0.007517547,0,0.0071618,0
leo2,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.067914761,47,0.010305654000000001,7
neos-3555904-turama,TERMINATION_REASON_OPTIMAL,1040,7.332057501,1041,0.054176804,1
neos-525149,TERMINATION_REASON_OPTIMAL,2080,14.428761472,2133,-0.597457454,53
