instance,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,preprocessing_time_sec,cumulative_rejected_steps
supportcase23,TERMINATION_REASON_OPTIMAL,1560,2.255210509,1562,0.017221824,2
neos-1122047,TERMINATION_REASON_ITERATION_LIMIT,10000,19.466348808000003,10017,0.016626074,17
neos-5188808-nattai,TERMINATION_REASON_OPTIMAL,120,0.249197409,121,0.011914429,1
blp-ic97,TERMINATION_REASON_OPTIMAL,3200,1.7583888920000001,3223,0.004856639,23
cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,1520,1.586948911,1546,0.00840041,26
iis-hc-cov,TERMINATION_REASON_OPTIMAL,1160,0.660675607,1169,0.0068576290000000005,9
neos-5251015-ogosta,TERMINATION_REASON_OPTIMAL,280,7.265638421,283,0.176569097,3
graph40-20-1rand,TERMINATION_REASON_OPTIMAL,40,0.36369646800000005,41,0.035145637,1
roi5alpha10n8,TERMINATION_REASON_OPTIMAL,1280,10.551632391000002,1298,0.10620847000000001,18
supportcase37,TERMINATION_REASON_OPTIMAL,7320,18.045308172000002,7390,0.018760644,70
fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,760,7.213563204,764,0.076722713,4
ger50-17-trans-pop-3t,TERMINATION_REASON_OPTIMAL,2640,1.7965250570000002,2646,0.012869228000000002,6
dc1l,TERMINATION_REASON_OPTIMAL,3480,9.126611414,3516,0.027063999000000002,36
neos-5116085-kenana,TERMINATION_REASON_OPTIMAL,520,26.432254121000003,536,0.323138148,16
supportcase40,TERMINATION_REASON_OPTIMAL,920,1.8028283990000002,924,0.012454629,4
nj2,TERMINATION_REASON_OPTIMAL,0,0.04975789,0,0.047408284,0
neos-5083528-gimone,TERMINATION_REASON_OPTIMAL,160,0.702810888,162,0.028428039000000002,2
neos-4322846-ryton,TERMINATION_REASON_OPTIMAL,1640,13.654879373000002,1666,0.056255280000000005,26
seqsolve2short4288,TERMINATION_REASON_OPTIMAL,2240,42.007325057,2247,0.144557236,7
leo1,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.0834,44,0.0052280980000000005,4
neos-4966258-blicks,TERMINATION_REASON_OPTIMAL,1400,22.19843567,1448,0.11745812100000001,48
nj1,TERMINATION_REASON_OPTIMAL,0,0.04478045800000001,0,0.043054335000000006,0
cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,760,4.249162076,765,0.037171201,5
neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,920,1.630098303,924,0.015178883,4
nursesched-medium-hint03,TERMINATION_REASON_OPTIMAL,2880,9.661302485,2907,0.031881363,27
neos-957143,TERMINATION_REASON_OPTIMAL,600,2.1913583700000006,603,0.032878129,3
ci-s4,TERMINATION_REASON_ITERATION_LIMIT,10000,8.167984527,10002,0.009629463000000001,2
ns2122698,TERMINATION_REASON_OPTIMAL,3640,34.531670512000005,3642,0.09133948600000001,2
cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,2200,7.318686879,2246,0.031897809,46
neos-885524,TERMINATION_REASON_OPTIMAL,120,0.662005064,125,0.030414812000000003,5
neos-4754521-awarau,TERMINATION_REASON_OPTIMAL,0,0.10120860500000001,0,0.096647705,0
thor50dday,TERMINATION_REASON_OPTIMAL,2880,14.543410342000001,2952,0.033484715000000005,72
dws008-03,TERMINATION_REASON_OPTIMAL,320,0.622214089,321,0.013450380000000001,1
neos-3755335-nizao,TERMINATION_REASON_OPTIMAL,120,0.904176945,129,0.048682531,9
ns930473,TERMINATION_REASON_OPTIMAL,0,0.009033514,0,0.008709467,0
cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,1360,3.0416149210000003,1387,0.020326331,27
sing326,TERMINATION_REASON_ITERATION_LIMIT,10000,34.993345172,10015,0.026222620000000002,15
d20200,TERMINATION_REASON_OPTIMAL,840,0.6301800260000001,889,0.006883269,49
neos-5044663-wairoa,TERMINATION_REASON_ITERATION_LIMIT,10000,41.587345652,10231,0.036452267000000003,231
neos-957323,TERMINATION_REASON_OPTIMAL,1200,4.050996002000001,1214,0.030555488000000002,14
neos-960392,TERMINATION_REASON_OPTIMAL,2400,4.866011219000001,2403,0.018258783,3
rocII-8-11,TERMINATION_REASON_OPTIMAL,4360,13.205714255,4363,0.030748826000000003,3
piperout-d27,TERMINATION_REASON_ITERATION_LIMIT,10000,15.474239301,10010,0.012757842,10
blp-ic98,TERMINATION_REASON_OPTIMAL,4160,2.70110903,4194,0.008616112,34
rocII-10-11,TERMINATION_REASON_OPTIMAL,3960,15.223452216000002,3963,0.038522731000000004,3
neos-3237086-abava,TERMINATION_REASON_OPTIMAL,200,0.9558882430000001,206,0.028412981,6
neos-498623,TERMINATION_REASON_OPTIMAL,2400,1.737927169,2451,0.009409168,51
ns1856153,TERMINATION_REASON_OPTIMAL,120,0.21986228300000002,124,0.010912008,4
neos-3437289-erdre,TERMINATION_REASON_OPTIMAL,0,0.008839354,0,0.008398317,0
leo2,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.079077214,47,0.012849247000000001,7
neos-3555904-turama,TERMINATION_REASON_OPTIMAL,960,7.429891093,966,0.056406653,6
neos-525149,TERMINATION_REASON_OPTIMAL,840,5.546887808,866,0.0836668,26
