instance,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,preprocessing_time_sec,cumulative_rejected_steps
supportcase23,TERMINATION_REASON_OPTIMAL,1635,4.075271882,1638,0.027178247000000003,3
neos-1122047,TERMINATION_REASON_ITERATION_LIMIT,10000,14.485338125,10007,0.019081062000000003,7
neos-5188808-nattai,TERMINATION_REASON_OPTIMAL,120,0.17634095300000002,121,0.008966188,1
blp-ic97,TERMINATION_REASON_OPTIMAL,3010,1.3265817590000002,3036,0.004523156,26
cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,1440,1.1993085079999999,1462,0.007927817,22
iis-hc-cov,TERMINATION_REASON_OPTIMAL,1160,0.543374864,1172,0.004860851,12
neos-5251015-ogosta,TERMINATION_REASON_OPTIMAL,320,8.47688789,325,0.16068754500000001,5
graph40-20-1rand,TERMINATION_REASON_OPTIMAL,120,0.589509177,121,0.032970438000000005,1
roi5alpha10n8,TERMINATION_REASON_OPTIMAL,1120,8.541825014,1139,0.09173210000000001,19
supportcase37,TERMINATION_REASON_OPTIMAL,8040,14.924821441,8106,0.015549033,66
fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,560,6.685715825,565,0.064769534,5
ger50-17-trans-pop-3t,TERMINATION_REASON_OPTIMAL,8320,7.280437018000001,8325,0.00860601,5
dc1l,TERMINATION_REASON_OPTIMAL,3120,6.109736736,3159,0.024037891000000002,39
neos-5116085-kenana,TERMINATION_REASON_OPTIMAL,400,18.00185629,418,0.267951755,18
supportcase40,TERMINATION_REASON_OPTIMAL,680,0.9521211300000001,683,0.010259729,3
nj2,TERMINATION_REASON_OPTIMAL,0,0.042511031000000005,0,0.039700226000000005,0
neos-5083528-gimone,TERMINATION_REASON_OPTIMAL,200,0.628321951,204,0.022284456,4
neos-4322846-ryton,TERMINATION_REASON_OPTIMAL,1400,8.51027387,1407,0.052705282000000006,7
seqsolve2short4288,TERMINATION_REASON_OPTIMAL,1960,30.194241034,1967,0.10861723200000001,7
leo1,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.034293178,45,0.006336686,5
neos-4966258-blicks,TERMINATION_REASON_OPTIMAL,1520,19.961530241000002,1572,0.115061756,52
nj1,TERMINATION_REASON_OPTIMAL,0,0.036794215000000005,0,0.035411239000000004,0
cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,800,5.507977355,805,0.031481199,5
neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,800,1.100356054,804,0.012932652000000001,4
nursesched-medium-hint03,TERMINATION_REASON_OPTIMAL,2400,5.8530045610000005,2419,0.029436942,19
neos-957143,TERMINATION_REASON_OPTIMAL,680,1.8494174410000002,682,0.035612089,2
ci-s4,TERMINATION_REASON_ITERATION_LIMIT,10000,7.100171329,10008,0.006777784,8
ns2122698,TERMINATION_REASON_OPTIMAL,3760,29.910269507,3762,0.051969716000000006,2
cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,1880,4.897606928,1920,0.025156183000000002,40
neos-885524,TERMINATION_REASON_OPTIMAL,120,0.5067311830000001,126,0.022427137,6
neos-4754521-awarau,TERMINATION_REASON_OPTIMAL,0,0.083672042,0,0.081194893,0
thor50dday,TERMINATION_REASON_OPTIMAL,2960,14.989431672,3004,0.027801235,44
dws008-03,TERMINATION_REASON_OPTIMAL,280,0.43070345200000004,281,0.012375329000000001,1
neos-3755335-nizao,TERMINATION_REASON_OPTIMAL,160,0.9360874530000001,173,0.045234922000000004,13
ns930473,TERMINATION_REASON_OPTIMAL,0,0.009257477000000002,0,0.008786608000000001,0
cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,1480,2.5781331190000003,1512,0.018952873000000002,32
sing326,TERMINATION_REASON_ITERATION_LIMIT,10000,30.413691638,10017,0.022970240000000003,17
d20200,TERMINATION_REASON_OPTIMAL,3520,1.88825663,3672,0.005867571,152
neos-5044663-wairoa,TERMINATION_REASON_ITERATION_LIMIT,10000,35.608391418000004,10242,0.028762116,242
neos-957323,TERMINATION_REASON_OPTIMAL,1120,2.901779967,1126,0.022924796,6
neos-960392,TERMINATION_REASON_OPTIMAL,1360,2.76498709,1361,0.014554288,1
rocII-8-11,TERMINATION_REASON_OPTIMAL,4160,9.660600982,4161,0.023928039,1
piperout-d27,TERMINATION_REASON_ITERATION_LIMIT,10000,14.693037597000002,10007,0.013006485000000002,7
blp-ic98,TERMINATION_REASON_OPTIMAL,4680,3.7280692280000007,4746,0.007290304,66
rocII-10-11,TERMINATION_REASON_OPTIMAL,3760,11.183685030000001,3762,0.034033891000000004,2
neos-3237086-abava,TERMINATION_REASON_OPTIMAL,200,0.7850694560000001,204,0.035142086,4
neos-498623,TERMINATION_REASON_OPTIMAL,2040,1.168904355,2094,0.006632542000000001,54
ns1856153,TERMINATION_REASON_OPTIMAL,120,0.189711805,123,0.009801242,3
neos-3437289-erdre,TERMINATION_REASON_OPTIMAL,0,0.0068891080000000006,0,0.006625763000000001,0
leo2,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.062259594,48,0.010232093000000001,8
neos-3555904-turama,TERMINATION_REASON_OPTIMAL,1080,6.478451554,1082,0.054199004,2
neos-525149,TERMINATION_REASON_OPTIMAL,800,5.29165757,831,0.070159529,31
