instance                   , termination_reason                  , iteration_count, solve_time_sec          , cumulative_kkt_matrix_passes, preprocessing_time_sec, cumulative_rejected_steps
lr2-22dr3-333vc4v17a-t60   , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,   45.352567988000004    ,                        10001,  0.056294395000000004 ,                         1
neos-4722843-widden        , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,   32.468408653          ,                        10117,  0.035898634000000006 ,                       117
supportcase23              , TERMINATION_REASON_OPTIMAL          ,            1640,    2.144411109          ,                         1644,  0.012763089          ,                         4
ns1430538                  , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,   14.792238532          ,                        10011,  0.015421296000000001 ,                        11
graph40-40-1rand           , TERMINATION_REASON_OPTIMAL          ,             212,    3.0684432590000004   ,                          214,  0.11596748000000001  ,                         2
supportcase19              , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,  338.329554985          ,                        10105,  0.351703712          ,                       105
neos-5223573-tarwin        , TERMINATION_REASON_OPTIMAL          ,             280,    4.926879185          ,                          283,  0.189384088          ,                         3
rmine11                    , TERMINATION_REASON_OPTIMAL          ,            3560,    7.538230189000001    ,                         3575,  0.042350745          ,                        15
neos-941313                , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,   43.530349992          ,                        10003,  0.053943581000000004 ,                         3
circ10-3                   , TERMINATION_REASON_OPTIMAL          ,             240,    0.36654604           ,                          252,  0.016358779          ,                        12
neos-780889                , TERMINATION_REASON_OPTIMAL          ,            2080,   14.051250726000001    ,                         2092,  0.061926179000000005 ,                        12
ns1828997                  , TERMINATION_REASON_OPTIMAL          ,              80,    0.260809446          ,                           82,  0.022110033          ,                         2
supportcase39              , TERMINATION_REASON_OPTIMAL          ,             960,    1.051815677          ,                         1031,  0.012705076000000001 ,                        71
scpk4                      , TERMINATION_REASON_OPTIMAL          ,            1240,    5.692998733          ,                         1261,  0.065182874          ,                        21
germanrr                   , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,    6.470776617          ,                        10448,  0.009592395          ,                       448
neos6                      , TERMINATION_REASON_OPTIMAL          ,            2960,    2.1245495570000004   ,                         3063,  0.010085511          ,                       103
ds-big                     , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,  158.18640658700002     ,                        10206,  0.19863583           ,                       206
eva1aprime6x6opt           , TERMINATION_REASON_OPTIMAL          ,            4880,    3.80894648           ,                         4894,  0.010845989          ,                        14
satellites3-25             , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,   33.189406513          ,                        10037,  0.038701939000000005 ,                        37
neos-1122047               , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,   12.117320650000002    ,                        10176,  0.013356609          ,                       176
bab3                       , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,  159.98978932           ,                        10099,  0.188582519          ,                        99
allcolor58                 , TERMINATION_REASON_OPTIMAL          ,             200,    1.311843204          ,                          201,  0.060648415000000004 ,                         1
neos-5188808-nattai        , TERMINATION_REASON_OPTIMAL          ,             160,    0.19278893400000002  ,                          161,  0.011921852          ,                         1
sp98ic                     , TERMINATION_REASON_OPTIMAL          ,            4378,    4.093175213          ,                         4539,  0.011902374          ,                       161
neos-3634244-kauru         , TERMINATION_REASON_OPTIMAL          ,               0,    0.314883681          ,                            0,  0.27382801700000003  ,                         0
scpj4scip                  , TERMINATION_REASON_OPTIMAL          ,            1560,    7.035047472          ,                         1582,  0.062853794          ,                        22
blp-ic97                   , TERMINATION_REASON_OPTIMAL          ,            3400,    1.26411011           ,                         3449,  0.006896375000000001 ,                        49
supportcase12              , TERMINATION_REASON_OPTIMAL          ,            5280,  124.760449197          ,                         5345,  0.242772976          ,                        65
uccase10                   , TERMINATION_REASON_OPTIMAL          ,             720,    4.6456209710000005   ,                          737,  0.066659139          ,                        17
cmflsp50-24-8-8            , TERMINATION_REASON_OPTIMAL          ,            1280,    0.838535459          ,                         1328,  0.008121304000000001 ,                        48
genus-sym-g62-2            , TERMINATION_REASON_OPTIMAL          ,              80,    0.278842593          ,                           80,  0.024073027          ,                         0
neos-4532248-waihi         , TERMINATION_REASON_OPTIMAL          ,               0,    0.050712382          ,                            0,  0.049000266          ,                         0
s250r10                    , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,   83.352728544          ,                        10132,  0.091956091          ,                       132
iis-hc-cov                 , TERMINATION_REASON_OPTIMAL          ,             960,    0.43721732           ,                          997,  0.004859016000000001 ,                        37
uccase9                    , TERMINATION_REASON_OPTIMAL          ,            1240,    2.361825525          ,                         1284,  0.021601543          ,                        44
map16715-04                , TERMINATION_REASON_OPTIMAL          ,            6720,   60.261052071          ,                         6777,  0.09553510200000001  ,                        57
neos-4555749-wards         , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,   47.604580895000005    ,                        10159,  0.058646072          ,                       159
uccase12                   , TERMINATION_REASON_OPTIMAL          ,            1040,    3.6501693900000003   ,                         1052,  0.037522629          ,                        12
supportcase41              , TERMINATION_REASON_OPTIMAL          ,             520,    0.548597898          ,                          552,  0.010778149          ,                        32
neos-5013590-toitoi        , TERMINATION_REASON_ITERATION_LIMIT  ,           10000,   13.202177331          ,                        10171,  0.017046971          ,                       171
vpphard                    , TERMINATION_REASON_OPTIMAL          ,             880,    1.691617331          ,                          881,  0.027342923          ,                         1
