instance,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,preprocessing_time_sec,cumulative_rejected_steps
supportcase23,TERMINATION_REASON_OPTIMAL,1637,8.819540472000002,1639,0.036444931,2
neos-1122047,TERMINATION_REASON_ITERATION_LIMIT,10000,39.427423057,10000,0.039361371,0
neos-5188808-nattai,TERMINATION_REASON_OPTIMAL,160,0.6110890820000001,161,0.026337209,1
blp-ic97,TERMINATION_REASON_OPTIMAL,3720,4.691721987,3758,0.015755839,38
cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,1680,3.7109038040000004,1701,0.025584423000000002,21
iis-hc-cov,TERMINATION_REASON_OPTIMAL,1080,1.6774077070000002,1098,0.021481426,18
neos-5251015-ogosta,TERMINATION_REASON_OPTIMAL,280,15.184351644000001,282,0.435128161,2
graph40-20-1rand,TERMINATION_REASON_OPTIMAL,40,0.852148696,42,0.08202163700000001,2
roi5alpha10n8,TERMINATION_REASON_OPTIMAL,920,23.714412857000003,950,0.258578521,30
supportcase37,TERMINATION_REASON_OPTIMAL,8520,48.248114527000006,8607,0.040369808,87
fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,640,11.399055952000001,644,0.158285526,4
ger50-17-trans-pop-3t,TERMINATION_REASON_OPTIMAL,7280,18.875021115,7293,0.028509374,13
dc1l,TERMINATION_REASON_OPTIMAL,3160,17.841378686,3200,0.03800295,40
neos-5116085-kenana,TERMINATION_REASON_OPTIMAL,480,46.913918624,501,0.814977877,21
supportcase40,TERMINATION_REASON_OPTIMAL,600,3.0535511370000004,605,0.025553822,5
nj2,TERMINATION_REASON_OPTIMAL,0,0.099891328,0,0.09475028,0
neos-5083528-gimone,TERMINATION_REASON_OPTIMAL,240,1.881465408,246,0.055736439000000006,6
neos-4322846-ryton,TERMINATION_REASON_OPTIMAL,1720,27.707301446,1758,0.113771931,38
seqsolve2short4288,TERMINATION_REASON_OPTIMAL,2280,77.739273913,2294,0.25864212200000003,14
leo1,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.083820018,45,0.013788394,5
neos-4966258-blicks,TERMINATION_REASON_OPTIMAL,1400,41.536083525,1437,0.223435496,37
nj1,TERMINATION_REASON_OPTIMAL,0,0.07599254000000001,0,0.07174412000000001,0
cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,640,7.642218689,647,0.07039168500000001,7
neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,960,3.052503687,965,0.029498183,5
nursesched-medium-hint03,TERMINATION_REASON_OPTIMAL,2400,14.288937146,2429,0.059618231,29
neos-957143,TERMINATION_REASON_OPTIMAL,480,3.1163164990000003,484,0.050329359000000004,4
ci-s4,TERMINATION_REASON_ITERATION_LIMIT,10000,17.625666532,10017,0.019515177,17
ns2122698,TERMINATION_REASON_OPTIMAL,4320,77.69271227300001,4322,0.10685259800000001,2
cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,2080,14.044918437,2129,0.064829726,49
neos-885524,TERMINATION_REASON_OPTIMAL,120,1.3151045319999999,125,0.054251205000000004,5
neos-4754521-awarau,TERMINATION_REASON_OPTIMAL,0,0.20566292800000002,0,0.19741619500000002,0
thor50dday,TERMINATION_REASON_OPTIMAL,3680,37.263264400999994,3729,0.07737534800000001,49
dws008-03,TERMINATION_REASON_OPTIMAL,360,1.233015739,361,0.029804933000000002,1
neos-3755335-nizao,TERMINATION_REASON_OPTIMAL,280,3.5561380840000005,304,0.090819757,24
ns930473,TERMINATION_REASON_OPTIMAL,0,0.024561357000000002,0,0.023065007000000002,0
cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,2520,10.993659701,2557,0.039862732000000005,37
sing326,TERMINATION_REASON_OPTIMAL,2680,18.834412059,2700,0.045480332000000005,20
d20200,TERMINATION_REASON_OPTIMAL,1520,2.224257141,1603,0.017465749000000003,83
neos-5044663-wairoa,TERMINATION_REASON_ITERATION_LIMIT,10000,86.95888761,10184,0.076013731,184
neos-957323,TERMINATION_REASON_OPTIMAL,1000,6.417450205000001,1030,0.053525192000000006,30
neos-960392,TERMINATION_REASON_OPTIMAL,1520,6.969777906000001,1525,0.031686877,5
rocII-8-11,TERMINATION_REASON_OPTIMAL,4440,25.374029362,4443,0.054136782,3
piperout-d27,TERMINATION_REASON_ITERATION_LIMIT,10000,30.334461249,10010,0.027488869000000003,10
blp-ic98,TERMINATION_REASON_OPTIMAL,6240,10.611007516,6289,0.019865117,49
rocII-10-11,TERMINATION_REASON_OPTIMAL,4160,29.691370857000003,4162,0.038296876,2
neos-3237086-abava,TERMINATION_REASON_OPTIMAL,240,2.208759701,243,0.070829083,3
neos-498623,TERMINATION_REASON_OPTIMAL,2880,5.2829765779999995,2993,0.018040800000000003,113
ns1856153,TERMINATION_REASON_OPTIMAL,80,0.321606599,84,0.025144554000000003,4
neos-3437289-erdre,TERMINATION_REASON_OPTIMAL,0,0.021879439,0,0.021210022000000002,0
leo2,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.157488871,43,0.027306368,3
neos-3555904-turama,TERMINATION_REASON_OPTIMAL,800,11.198861935000002,803,0.113812641,3
neos-525149,TERMINATION_REASON_OPTIMAL,680,11.243976681000001,700,0.16282057900000002,20
