instance,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,preprocessing_time_sec,cumulative_rejected_steps
supportcase23,TERMINATION_REASON_OPTIMAL,1280,2.817526942,1283,0.015235496000000001,3
neos-1122047,TERMINATION_REASON_ITERATION_LIMIT,10000,16.683760178000004,10001,0.014565344000000001,1
neos-5188808-nattai,TERMINATION_REASON_OPTIMAL,120,0.20937076300000002,121,0.010008461000000001,1
blp-ic97,TERMINATION_REASON_OPTIMAL,3600,1.685840356,3626,0.004701656,26
cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,1400,0.54455655,1425,0.007934698,25
iis-hc-cov,TERMINATION_REASON_OPTIMAL,1120,0.619916957,1133,0.0053167200000000005,13
neos-5251015-ogosta,TERMINATION_REASON_OPTIMAL,200,4.436349034000001,203,0.15452263700000002,3
graph40-20-1rand,TERMINATION_REASON_OPTIMAL,40,0.32487560300000007,41,0.029759754000000003,1
roi5alpha10n8,TERMINATION_REASON_OPTIMAL,1240,11.426925911,1257,0.11250209300000001,17
supportcase37,TERMINATION_REASON_OPTIMAL,8600,18.831162108,8703,0.017626719000000002,103
fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,560,5.173356687000001,563,0.07356122000000001,3
ger50-17-trans-pop-3t,TERMINATION_REASON_OPTIMAL,2440,2.7235859990000004,2442,0.011396678,2
dc1l,TERMINATION_REASON_OPTIMAL,3600,8.960790155,3646,0.025271013000000002,46
neos-5116085-kenana,TERMINATION_REASON_OPTIMAL,400,16.543652963000003,418,0.304158987,18
supportcase40,TERMINATION_REASON_OPTIMAL,800,1.2826505970000002,804,0.01172854,4
nj2,TERMINATION_REASON_OPTIMAL,0,0.054444446,0,0.051949834,0
neos-5083528-gimone,TERMINATION_REASON_OPTIMAL,200,0.821629009,202,0.023951969,2
neos-4322846-ryton,TERMINATION_REASON_OPTIMAL,1360,10.120846341,1365,0.048308462,5
seqsolve2short4288,TERMINATION_REASON_OPTIMAL,1960,31.295162219,1965,0.116877042,5
leo1,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.034427832000000005,43,0.00530186,3
neos-4966258-blicks,TERMINATION_REASON_OPTIMAL,1560,22.342531876000002,1593,0.106052239,33
nj1,TERMINATION_REASON_OPTIMAL,0,0.03885922,0,0.037230131,0
cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,640,3.169840609,645,0.033981565000000005,5
neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,1000,1.664901029,1007,0.013155664000000001,7
nursesched-medium-hint03,TERMINATION_REASON_OPTIMAL,2480,6.752406201,2505,0.029274396,25
neos-957143,TERMINATION_REASON_OPTIMAL,480,1.549556562,481,0.028296157000000002,1
ci-s4,TERMINATION_REASON_ITERATION_LIMIT,10000,8.036083131000002,10018,0.012360641,18
ns2122698,TERMINATION_REASON_OPTIMAL,3280,29.369291108000002,3282,0.09496414700000001,2
cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,1600,5.105154184,1640,0.032192229,40
neos-885524,TERMINATION_REASON_OPTIMAL,120,0.568678715,126,0.026023263,6
neos-4754521-awarau,TERMINATION_REASON_OPTIMAL,0,0.09691943000000001,0,0.09412646000000001,0
thor50dday,TERMINATION_REASON_OPTIMAL,3080,15.328228029000002,3141,0.030051259,61
dws008-03,TERMINATION_REASON_OPTIMAL,320,0.592392892,322,0.013918529,2
neos-3755335-nizao,TERMINATION_REASON_OPTIMAL,120,0.8696546510000001,127,0.051708614,7
ns930473,TERMINATION_REASON_OPTIMAL,0,0.010154218999999999,0,0.009693538,0
cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,1640,3.4497480990000002,1675,0.024274268,35
sing326,TERMINATION_REASON_ITERATION_LIMIT,10000,33.907059762,10016,0.025401137,16
d20200,TERMINATION_REASON_OPTIMAL,840,0.5379001000000001,891,0.006614427,51
neos-5044663-wairoa,TERMINATION_REASON_ITERATION_LIMIT,10000,39.940716544000004,10251,0.034366943000000004,251
neos-957323,TERMINATION_REASON_OPTIMAL,1600,4.982562885000001,1607,0.028208174000000003,7
neos-960392,TERMINATION_REASON_OPTIMAL,1440,2.952817767,1441,0.015850401,1
rocII-8-11,TERMINATION_REASON_OPTIMAL,3680,10.405125389,3683,0.026501821000000002,3
piperout-d27,TERMINATION_REASON_ITERATION_LIMIT,10000,14.931638531,10006,0.012659867,6
blp-ic98,TERMINATION_REASON_OPTIMAL,4880,4.3490367700000006,4912,0.008372896000000001,32
rocII-10-11,TERMINATION_REASON_OPTIMAL,3320,9.950212006000001,3323,0.03366276,3
neos-3237086-abava,TERMINATION_REASON_OPTIMAL,160,0.780225437,164,0.027589247,4
neos-498623,TERMINATION_REASON_OPTIMAL,3000,1.968063295,3101,0.0066506840000000005,101
ns1856153,TERMINATION_REASON_OPTIMAL,80,0.14673035800000003,83,0.009615106,3
neos-3437289-erdre,TERMINATION_REASON_OPTIMAL,0,0.007181697000000001,0,0.006889072,0
leo2,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.065661433,47,0.009963235,7
neos-3555904-turama,TERMINATION_REASON_OPTIMAL,960,6.264402696,964,0.052411899000000005,4
neos-525149,TERMINATION_REASON_OPTIMAL,840,6.175307243000001,870,0.084833431,30
