instance                 , termination_reason                  , iteration_count, solve_time_sec        , cumulative_kkt_matrix_passes, preprocessing_time_sec, cumulative_rejected_steps
supportcase23            , TERMINATION_REASON_OPTIMAL          ,            1560,  2.8956578180000005   ,                         1564,   0.015326196         ,                         4
neos-1122047             , TERMINATION_REASON_ITERATION_LIMIT  ,           10000, 16.16441714           ,                        10184,   0.014076877000000002,                       184
neos-5188808-nattai      , TERMINATION_REASON_OPTIMAL          ,             160,  0.25196865           ,                          161,   0.011521519000000001,                         1
blp-ic97                 , TERMINATION_REASON_OPTIMAL          ,            4400,  1.5481294200000002   ,                         4468,   0.007445877         ,                        68
cmflsp50-24-8-8          , TERMINATION_REASON_OPTIMAL          ,            1240,  1.1452298440000002   ,                         1286,   0.007608682         ,                        46
iis-hc-cov               , TERMINATION_REASON_OPTIMAL          ,             920,  0.46127422200000007  ,                          953,   0.005668119         ,                        33
neos-5251015-ogosta      , TERMINATION_REASON_OPTIMAL          ,             200,  4.845164551000001    ,                          202,   0.16447451400000002 ,                         2
graph40-20-1rand         , TERMINATION_REASON_OPTIMAL          ,             100,  0.575234365          ,                          102,   0.031713852         ,                         2
roi5alpha10n8            , TERMINATION_REASON_OPTIMAL          ,            1040,  9.190589058          ,                         1082,   0.10861092800000001 ,                        42
supportcase37            , TERMINATION_REASON_OPTIMAL          ,            7640, 15.4589658            ,                         7808,   0.017080443         ,                       168
fastxgemm-n3r22s4t6      , TERMINATION_REASON_OPTIMAL          ,             760,  6.075457564000001    ,                          768,   0.069641168         ,                         8
ger50-17-trans-pop-3t    , TERMINATION_REASON_OPTIMAL          ,            8680,  8.306730833          ,                         8789,   0.008566529         ,                       109
dc1l                     , TERMINATION_REASON_OPTIMAL          ,            3240,  6.988300859000001    ,                         3314,   0.022111466         ,                        74
neos-5116085-kenana      , TERMINATION_REASON_OPTIMAL          ,             520, 22.452551371000002    ,                          539,   0.390368088         ,                        19
supportcase40            , TERMINATION_REASON_OPTIMAL          ,             680,  1.130929332          ,                          692,   0.010390537         ,                        12
nj2                      , TERMINATION_REASON_OPTIMAL          ,               0,  0.043122560000000004 ,                            0,   0.041054374000000005,                         0
neos-5083528-gimone      , TERMINATION_REASON_OPTIMAL          ,             280,  0.949235291          ,                          290,   0.022015232000000003,                        10
neos-4322846-ryton       , TERMINATION_REASON_OPTIMAL          ,            2040, 13.665806124000001    ,                         2114,   0.044523973         ,                        74
seqsolve2short4288       , TERMINATION_REASON_OPTIMAL          ,            1880, 30.105126395000003    ,                         1951,   0.111912334         ,                        71
