instance,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,preprocessing_time_sec,cumulative_rejected_steps
supportcase23,TERMINATION_REASON_OPTIMAL,2080,4.091460271,2082,0.014193152,2
neos-1122047,TERMINATION_REASON_ITERATION_LIMIT,10000,15.288437664000002,10047,0.014385253,47
neos-5188808-nattai,TERMINATION_REASON_OPTIMAL,120,0.207348731,121,0.011288584,1
blp-ic97,TERMINATION_REASON_ITERATION_LIMIT,10000,4.553686761000001,10010,0.004716149,10
cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,1920,1.671527911,1940,0.007452436000000001,20
iis-hc-cov,TERMINATION_REASON_OPTIMAL,1200,0.613861381,1211,0.00588954,11
neos-5251015-ogosta,TERMINATION_REASON_OPTIMAL,320,6.730825453,322,0.161620112,2
graph40-20-1rand,TERMINATION_REASON_OPTIMAL,120,0.631543016,121,0.030115810000000003,1
roi5alpha10n8,TERMINATION_REASON_OPTIMAL,1480,12.78065733,1506,0.09370102500000001,26
supportcase37,TERMINATION_REASON_ITERATION_LIMIT,10000,22.375739613,10060,0.016178352,60
fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,720,5.89972997,725,0.065684535,5
ger50-17-trans-pop-3t,TERMINATION_REASON_OPTIMAL,2000,2.117330055,2019,0.008903298,19
dc1l,TERMINATION_REASON_OPTIMAL,3920,8.951114819,3972,0.023217782000000003,52
neos-5116085-kenana,TERMINATION_REASON_OPTIMAL,1040,45.4379848,1051,0.33045807200000005,11
supportcase40,TERMINATION_REASON_OPTIMAL,1040,1.714578944,1043,0.010857451,3
nj2,TERMINATION_REASON_OPTIMAL,0,0.046061674000000004,0,0.044479582000000004,0
neos-5083528-gimone,TERMINATION_REASON_OPTIMAL,280,0.9965877700000001,283,0.025910595,3
neos-4322846-ryton,TERMINATION_REASON_OPTIMAL,4120,28.007354283,4185,0.046561044,65
seqsolve2short4288,TERMINATION_REASON_OPTIMAL,4120,1245.1683922890002,4127,0.11612684300000001,7
leo1,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.028519518,43,0.004785028,3
neos-4966258-blicks,TERMINATION_REASON_OPTIMAL,2080,27.820452021,2091,0.09636588500000001,11
nj1,TERMINATION_REASON_OPTIMAL,0,0.033399443,0,0.031981845,0
cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,1080,4.598029293000001,1083,0.029254290000000002,3
neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,480,0.695084444,486,0.012259008,6
nursesched-medium-hint03,TERMINATION_REASON_OPTIMAL,4560,13.806619684000001,4595,0.027497233000000003,35
neos-957143,TERMINATION_REASON_OPTIMAL,1600,4.338039376,1602,0.023550415,2
ci-s4,TERMINATION_REASON_ITERATION_LIMIT,10000,7.728432048000001,10004,0.0074443520000000004,4
ns2122698,TERMINATION_REASON_OPTIMAL,8640,68.547321698,8642,0.054253684,2
cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,2800,7.1936339910000004,2836,0.027449141000000003,36
neos-885524,TERMINATION_REASON_OPTIMAL,160,0.6464252450000001,166,0.023384401000000003,6
neos-4754521-awarau,TERMINATION_REASON_OPTIMAL,0,0.089040058,0,0.08614308400000001,0
thor50dday,TERMINATION_REASON_OPTIMAL,4760,24.188657061,4888,0.031075705000000002,128
dws008-03,TERMINATION_REASON_OPTIMAL,360,0.565646325,361,0.012498518,1
neos-3755335-nizao,TERMINATION_REASON_OPTIMAL,400,2.113589384,413,0.051191486,13
ns930473,TERMINATION_REASON_OPTIMAL,0,0.009745542000000001,0,0.009375907000000001,0
cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,2440,4.37627895,2471,0.017392919,31
sing326,TERMINATION_REASON_ITERATION_LIMIT,10000,33.209634878,10098,0.023723373000000002,98
d20200,TERMINATION_REASON_OPTIMAL,8200,4.687694081000001,8507,0.007011838,307
neos-5044663-wairoa,TERMINATION_REASON_ITERATION_LIMIT,10000,38.924458133,10269,0.030985228000000004,269
neos-957323,TERMINATION_REASON_OPTIMAL,2200,6.100413208000001,2212,0.030112747000000002,12
neos-960392,TERMINATION_REASON_OPTIMAL,1680,3.752609108,1681,0.017617656000000002,1
rocII-8-11,TERMINATION_REASON_OPTIMAL,9720,26.689698568,9726,0.026637889,6
piperout-d27,TERMINATION_REASON_ITERATION_LIMIT,10000,13.221245170000001,10005,0.02099486,5
blp-ic98,TERMINATION_REASON_OPTIMAL,7000,5.427303844000001,7074,0.008341226,74
rocII-10-11,TERMINATION_REASON_OPTIMAL,8600,28.11314082,8601,0.034377181,1
neos-3237086-abava,TERMINATION_REASON_OPTIMAL,280,1.095898346,282,0.025858174,2
neos-498623,TERMINATION_REASON_OPTIMAL,7800,4.459314714,7967,0.005806579,167
ns1856153,TERMINATION_REASON_OPTIMAL,160,0.254820411,163,0.008788242,3
neos-3437289-erdre,TERMINATION_REASON_OPTIMAL,0,0.009740266000000001,0,0.009470296000000001,0
leo2,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.06675151700000001,46,0.011858916,6
neos-3555904-turama,TERMINATION_REASON_OPTIMAL,1040,6.797274415,1042,0.053572138000000005,2
neos-525149,TERMINATION_REASON_OPTIMAL,2080,13.673782398,2148,0.08281853700000001,68
