instance,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,preprocessing_time_sec,cumulative_rejected_steps
supportcase23,TERMINATION_REASON_OPTIMAL,1440,2.939129732,1442,0.014313414000000002,2
neos-1122047,TERMINATION_REASON_ITERATION_LIMIT,10000,15.198748144000001,10010,0.014262856,10
neos-5188808-nattai,TERMINATION_REASON_OPTIMAL,100,0.18615854099999998,102,0.011392102000000001,2
blp-ic97,TERMINATION_REASON_OPTIMAL,3080,1.413568025,3088,0.004809323,8
cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,1200,1.099476259,1219,0.008058744000000001,19
iis-hc-cov,TERMINATION_REASON_OPTIMAL,1040,0.510069069,1052,0.0059140090000000005,12
neos-5251015-ogosta,TERMINATION_REASON_OPTIMAL,200,4.406496065000001,203,0.152833921,3
graph40-20-1rand,TERMINATION_REASON_OPTIMAL,120,0.621798072,121,0.030568106,1
roi5alpha10n8,TERMINATION_REASON_OPTIMAL,1040,8.98144719,1056,0.09193382200000001,16
supportcase37,TERMINATION_REASON_OPTIMAL,9320,18.727505830000002,9415,0.017165878000000002,95
fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,600,5.0200008920000005,604,0.064745858,4
ger50-17-trans-pop-3t,TERMINATION_REASON_OPTIMAL,8480,7.291621556000001,8484,0.016158959,4
dc1l,TERMINATION_REASON_OPTIMAL,2960,6.6472030790000005,3002,0.022995546000000002,42
neos-5116085-kenana,TERMINATION_REASON_OPTIMAL,480,19.58858711,496,0.277027929,16
supportcase40,TERMINATION_REASON_OPTIMAL,640,1.047031699,644,0.010721346000000001,4
nj2,TERMINATION_REASON_OPTIMAL,0,0.04493580400000001,0,0.042391776000000006,0
neos-5083528-gimone,TERMINATION_REASON_OPTIMAL,200,0.7226359250000001,202,0.024047822,2
neos-4322846-ryton,TERMINATION_REASON_OPTIMAL,1400,9.640812127,1408,0.047931811000000005,8
seqsolve2short4288,TERMINATION_REASON_OPTIMAL,2040,30.671415788,2050,0.11350030500000001,10
leo1,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.033692809000000004,43,0.005125142,3
neos-4966258-blicks,TERMINATION_REASON_OPTIMAL,1400,19.258141665000004,1443,0.101626277,43
nj1,TERMINATION_REASON_OPTIMAL,0,0.03835624000000001,0,0.037036082000000005,0
cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,680,3.235605794,685,0.032442223,5
neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,840,1.3362056090000003,846,0.012980573,6
nursesched-medium-hint03,TERMINATION_REASON_OPTIMAL,2360,6.71856396,2381,0.030931140000000003,21
neos-957143,TERMINATION_REASON_OPTIMAL,640,1.9614263320000003,643,0.027187043,3
ci-s4,TERMINATION_REASON_ITERATION_LIMIT,10000,7.750704546000001,10065,0.007588148,65
ns2122698,TERMINATION_REASON_OPTIMAL,3360,27.104583736000002,3362,0.056100407000000005,2
cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,2080,5.96577174,2128,0.027640075,48
neos-885524,TERMINATION_REASON_OPTIMAL,120,0.547448528,125,0.025203568000000003,5
neos-4754521-awarau,TERMINATION_REASON_OPTIMAL,0,0.09243144900000001,0,0.08976855900000001,0
thor50dday,TERMINATION_REASON_OPTIMAL,2880,13.166391763,2937,0.030655984,57
dws008-03,TERMINATION_REASON_OPTIMAL,320,0.533947006,323,0.012290038000000001,3
neos-3755335-nizao,TERMINATION_REASON_OPTIMAL,320,1.8191290480000002,342,0.042273250000000005,22
ns930473,TERMINATION_REASON_OPTIMAL,0,0.010304924,0,0.010010603,0
cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,1760,3.3696571630000003,1800,0.019011822,40
sing326,TERMINATION_REASON_ITERATION_LIMIT,10000,29.990303794000003,10021,0.026841196,21
d20200,TERMINATION_REASON_OPTIMAL,920,0.525209349,980,0.006903297,60
neos-5044663-wairoa,TERMINATION_REASON_ITERATION_LIMIT,10000,34.473248473,10249,0.028855852,249
neos-957323,TERMINATION_REASON_OPTIMAL,1000,2.8845064180000004,1013,0.025804860000000002,13
neos-960392,TERMINATION_REASON_OPTIMAL,1560,3.425914194,1564,0.017021754,4
rocII-8-11,TERMINATION_REASON_OPTIMAL,4040,10.214263302,4041,0.026003165,1
piperout-d27,TERMINATION_REASON_ITERATION_LIMIT,10000,13.277996295000001,10009,0.013588272,9
blp-ic98,TERMINATION_REASON_OPTIMAL,4320,3.698561154,4352,0.007763812,32
rocII-10-11,TERMINATION_REASON_OPTIMAL,4200,14.216168142,4202,0.035590131000000004,2
neos-3237086-abava,TERMINATION_REASON_OPTIMAL,160,0.7439198350000001,163,0.027627982000000002,3
neos-498623,TERMINATION_REASON_OPTIMAL,2200,1.39407292,2261,0.005984751,61
ns1856153,TERMINATION_REASON_OPTIMAL,80,0.155962256,82,0.011976882000000001,2
neos-3437289-erdre,TERMINATION_REASON_OPTIMAL,0,0.007511708,0,0.007244388,0
leo2,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.070155936,47,0.012213030000000001,7
neos-3555904-turama,TERMINATION_REASON_OPTIMAL,960,5.849463083,961,0.06119801800000001,1
neos-525149,TERMINATION_REASON_OPTIMAL,760,5.659159017,778,0.07207366300000001,18
