instance,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,preprocessing_time_sec,cumulative_rejected_steps
supportcase23,TERMINATION_REASON_OPTIMAL,1400,2.84482514,1402,0.014356309000000001,2
neos-1122047,TERMINATION_REASON_ITERATION_LIMIT,10000,17.000301594,10041,0.014543180000000001,41
neos-5188808-nattai,TERMINATION_REASON_OPTIMAL,80,0.159580465,81,0.009711422,1
blp-ic97,TERMINATION_REASON_OPTIMAL,3400,1.608964981,3430,0.004570768,30
cmflsp50-24-8-8,TERMINATION_REASON_OPTIMAL,1480,1.313707372,1500,0.007481871,20
iis-hc-cov,TERMINATION_REASON_OPTIMAL,1120,0.54096254,1132,0.005272329,12
neos-5251015-ogosta,TERMINATION_REASON_OPTIMAL,320,6.654289033,322,0.166562036,2
graph40-20-1rand,TERMINATION_REASON_OPTIMAL,80,0.47641199,81,0.031106565000000003,1
roi5alpha10n8,TERMINATION_REASON_OPTIMAL,1560,13.156901519000002,1583,0.09611454100000001,23
supportcase37,TERMINATION_REASON_ITERATION_LIMIT,10000,21.771487884000003,10076,0.016661503,76
fastxgemm-n3r22s4t6,TERMINATION_REASON_OPTIMAL,560,4.768470617,563,0.065446733,3
ger50-17-trans-pop-3t,TERMINATION_REASON_ITERATION_LIMIT,10000,9.559296599000001,10005,0.008429655000000001,5
dc1l,TERMINATION_REASON_OPTIMAL,3360,7.637672080000001,3383,0.023197121,23
neos-5116085-kenana,TERMINATION_REASON_OPTIMAL,600,25.199998941000004,615,0.272434952,15
supportcase40,TERMINATION_REASON_OPTIMAL,720,1.107595971,726,0.011618718,6
nj2,TERMINATION_REASON_OPTIMAL,0,0.048081795000000004,0,0.04490244,0
neos-5083528-gimone,TERMINATION_REASON_OPTIMAL,240,0.8821528770000001,243,0.024597759,3
neos-4322846-ryton,TERMINATION_REASON_OPTIMAL,1920,13.541078247000002,1977,0.048684224000000005,57
seqsolve2short4288,TERMINATION_REASON_OPTIMAL,2280,35.445334202,2291,0.11113246700000001,11
leo1,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.035296432,44,0.005904195,4
neos-4966258-blicks,TERMINATION_REASON_OPTIMAL,2080,29.402731861,2090,0.09740256300000001,10
nj1,TERMINATION_REASON_OPTIMAL,0,0.037329277,0,0.035902698000000004,0
cryptanalysiskb128n5obj16,TERMINATION_REASON_OPTIMAL,920,4.227604849,925,0.031807994,5
neos-5266653-tugela,TERMINATION_REASON_OPTIMAL,880,1.390623611,891,0.013347840000000001,11
nursesched-medium-hint03,TERMINATION_REASON_OPTIMAL,2480,6.924176782,2500,0.032969745,20
neos-957143,TERMINATION_REASON_OPTIMAL,720,2.182004954,721,0.027469102000000002,1
ci-s4,TERMINATION_REASON_ITERATION_LIMIT,10000,7.661916581,10050,0.00796587,50
ns2122698,TERMINATION_REASON_OPTIMAL,3040,26.354413133,3042,0.057661676,2
cmflsp60-36-2-6,TERMINATION_REASON_OPTIMAL,1800,5.259782502000001,1843,0.027277104000000003,43
neos-885524,TERMINATION_REASON_OPTIMAL,120,0.55480311,125,0.024649188000000002,5
neos-4754521-awarau,TERMINATION_REASON_OPTIMAL,0,0.08745104100000001,0,0.08477551100000001,0
thor50dday,TERMINATION_REASON_OPTIMAL,3320,15.942205891,3361,0.029649216000000003,41
dws008-03,TERMINATION_REASON_OPTIMAL,360,0.622757286,362,0.015260251,2
neos-3755335-nizao,TERMINATION_REASON_OPTIMAL,760,4.115432976,780,0.041998953000000006,20
ns930473,TERMINATION_REASON_OPTIMAL,0,0.010520582,0,0.01021358,0
cmflsp40-36-2-10,TERMINATION_REASON_OPTIMAL,1720,3.2585340970000005,1764,0.018576089,44
sing326,TERMINATION_REASON_ITERATION_LIMIT,10000,32.263524464,10039,0.024911378,39
d20200,TERMINATION_REASON_OPTIMAL,5160,2.9186146,5374,0.0063904650000000006,214
neos-5044663-wairoa,TERMINATION_REASON_ITERATION_LIMIT,10000,36.452141872,10262,0.031085958,262
neos-957323,TERMINATION_REASON_OPTIMAL,1480,4.33736865,1502,0.025942372000000002,22
neos-960392,TERMINATION_REASON_OPTIMAL,2080,4.657920855,2082,0.015496659000000001,2
rocII-8-11,TERMINATION_REASON_OPTIMAL,4040,10.610770765000002,4056,0.026678325000000003,16
piperout-d27,TERMINATION_REASON_ITERATION_LIMIT,10000,12.972337109000001,10004,0.012180489000000001,4
blp-ic98,TERMINATION_REASON_OPTIMAL,5280,4.193648645000001,5348,0.007664974000000001,68
rocII-10-11,TERMINATION_REASON_OPTIMAL,4880,15.720170080000003,4884,0.031764688,4
neos-3237086-abava,TERMINATION_REASON_OPTIMAL,240,1.090279017,244,0.025654495000000003,4
neos-498623,TERMINATION_REASON_OPTIMAL,3160,2.071075464,3260,0.006009465,100
ns1856153,TERMINATION_REASON_OPTIMAL,120,0.212277636,123,0.009809571000000001,3
neos-3437289-erdre,TERMINATION_REASON_OPTIMAL,0,0.00951107,0,0.00903728,0
leo2,TERMINATION_REASON_PRIMAL_INFEASIBLE,40,0.072832861,47,0.009567362000000001,7
neos-3555904-turama,TERMINATION_REASON_OPTIMAL,880,6.028724761,882,0.05515979,2
neos-525149,TERMINATION_REASON_OPTIMAL,720,5.2250199660000005,731,0.068116732,11
