instance                   , termination_reason                      , iteration_count, solve_time_sec          , cumulative_kkt_matrix_passes, preprocessing_time_sec, cumulative_rejected_steps
ger50-17-trans-pop-3t      , TERMINATION_REASON_OPTIMAL              ,           99680,   31.484352672          ,                        99690,  0.005266346000000001 ,                        10
bab3                       , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99861,  992.6194752380001      ,                       100000,  0.10274026400000001  ,                       139
opm2-z10-s4                , TERMINATION_REASON_OPTIMAL              ,            9840,   17.155539526000002    ,                         9867,  0.015521649          ,                        27
gmut-75-50                 , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99549,  141.953912733          ,                       100000,  0.017503605000000002 ,                       451
iis-hc-cov                 , TERMINATION_REASON_OPTIMAL              ,            4520,    0.84202221           ,                         4545,  0.003715822          ,                        25
uccase7                    , TERMINATION_REASON_OPTIMAL              ,           48440,   41.30370022           ,                        48443,  0.010945264000000001 ,                         3
supportcase10              , TERMINATION_REASON_OPTIMAL              ,           20960,   44.05480648           ,                        21160,  0.021148632          ,                       200
neos-3402294-bobin         , TERMINATION_REASON_OPTIMAL              ,             360,    3.5301961570000002   ,                          361,  0.079248227          ,                         1
graphdraw-grafo2           , TERMINATION_REASON_OPTIMAL              ,             600,    1.5740891080000001   ,                          607,  0.022943895000000002 ,                         7
buildingenergy             , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           98919,  496.3381616980001      ,                       100000,  0.038381983          ,                      1081
wnq-n100-mw99-14           , TERMINATION_REASON_OPTIMAL              ,            3520,   33.807707966          ,                         3594,  0.080228741          ,                        74
neos-5114902-kasavu        , TERMINATION_REASON_OPTIMAL              ,             800,   20.751750606          ,                          819,  0.181328067          ,                        19
neos-876808                , TERMINATION_REASON_OPTIMAL              ,           11120,   27.889874456          ,                        11245,  0.023901456          ,                       125
mushroom-best              , TERMINATION_REASON_OPTIMAL              ,            5880,    1.637767216          ,                         5981,  0.0051579320000000005,                       101
scpk4                      , TERMINATION_REASON_OPTIMAL              ,           21080,   66.490863345          ,                        21091,  0.036852289          ,                        11
triptim7                   , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99508,   85.42565548700001     ,                       100000,  0.012398574          ,                       492
mzzv11                     , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99785,   30.885785135          ,                       100000,  0.004357724          ,                       215
circ10-3                   , TERMINATION_REASON_OPTIMAL              ,             800,    0.444655418          ,                          811,  0.007980327          ,                        11
piperout-d20               , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99990,   35.907023643          ,                       100000,  0.0050729780000000006,                        10
neos-3354841-apure         , TERMINATION_REASON_OPTIMAL              ,            6960,   67.11847406400001     ,                         7085,  0.13992569500000002  ,                       125
neos-5189128-totara        , TERMINATION_REASON_OPTIMAL              ,            8920,   30.338328012          ,                         8950,  0.036550029000000005 ,                        30
sp98ic                     , TERMINATION_REASON_OPTIMAL              ,           26780,    9.224261604          ,                        27149,  0.007423353000000001 ,                       369
neos-3695882-vesdre        , TERMINATION_REASON_OPTIMAL              ,             680,    1.721267797          ,                          685,  0.022443164          ,                         5
in                         , TERMINATION_REASON_OPTIMAL              ,            1440,   87.30388285600002     ,                         1488,  0.371455022          ,                        48
ns930473                   , TERMINATION_REASON_OPTIMAL              ,            1200,    0.36557707500000003  ,                         1201,  0.004241652          ,                         1
bab6                       , TERMINATION_REASON_OPTIMAL              ,           89480,  289.85957234800003     ,                        89631,  0.038379288000000004 ,                       151
