instance                   , termination_reason                      , iteration_count, solve_time_sec         , cumulative_kkt_matrix_passes, preprocessing_time_sec, cumulative_rejected_steps
ger50-17-trans-pop-3t      , TERMINATION_REASON_OPTIMAL              ,           90360,   24.136892072000002   ,                        90591,  0.005579899          , 231
bab3                       , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99572,  799.7869143100002     ,                       100000,  0.10424955200000001  , 428
opm2-z10-s4                , TERMINATION_REASON_OPTIMAL              ,            9800,   14.202967556         ,                         9846,  0.019237178          , 46
gmut-75-50                 , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           98569,  114.699185763         ,                       100000,  0.018543369          , 1431
iis-hc-cov                 , TERMINATION_REASON_OPTIMAL              ,            4840,    0.803139263         ,                         4883,  0.0036597440000000004, 43
uccase7                    , TERMINATION_REASON_OPTIMAL              ,           63320,   40.829180966         ,                        63352,  0.012733736          , 32
supportcase10              , TERMINATION_REASON_OPTIMAL              ,           21120,   36.540413366         ,                        21345,  0.024130905          , 225
neos-3402294-bobin         , TERMINATION_REASON_OPTIMAL              ,             360,    2.9604502850000003  ,                          363,  0.087689212          , 3
graphdraw-grafo2           , TERMINATION_REASON_OPTIMAL              ,             640,    1.379189091         ,                          649,  0.026893452          , 9
buildingenergy             , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           98580,  354.352607492         ,                       100000,  0.046319283          , 1420
wnq-n100-mw99-14           , TERMINATION_REASON_OPTIMAL              ,            4080,   31.337383916         ,                         4162,  0.093100848          , 82
neos-5114902-kasavu        , TERMINATION_REASON_OPTIMAL              ,             720,   14.242443658000001   ,                          742,  0.208962837          , 22
neos-876808                , TERMINATION_REASON_OPTIMAL              ,           12480,   24.691434196         ,                        12682,  0.027031751000000003 , 202
mushroom-best              , TERMINATION_REASON_OPTIMAL              ,            7000,    1.690630426         ,                         7128,  0.005004914          , 128
scpk4                      , TERMINATION_REASON_OPTIMAL              ,           24040,   66.01611310700001    ,                        24061,  0.039494816          , 21
triptim7                   , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99318,   71.818669914         ,                       100000,  0.012680894000000002 , 682
mzzv11                     , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99606,   26.756473863         ,                       100000,  0.004447228          , 394
circ10-3                   , TERMINATION_REASON_OPTIMAL              ,             680,    0.33022512500000006 ,                          692,  0.008585969          , 12
piperout-d20               , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99546,   29.518711940000003   ,                       100000,  0.005526488          , 454
neos-3354841-apure         , TERMINATION_REASON_OPTIMAL              ,            8560,   77.133323098         ,                         8766,  0.134850133          , 206
neos-5189128-totara        , TERMINATION_REASON_OPTIMAL              ,           13280,   36.91352163          ,                        13393,  0.039363681000000005 , 113
sp98ic                     , TERMINATION_REASON_OPTIMAL              ,           29218,    9.497348009000001   ,                        29725,  0.007204636          , 507
neos-3695882-vesdre        , TERMINATION_REASON_OPTIMAL              ,             840,    1.7040395860000002  ,                          843,  0.025658680000000003 , 3
in                         , TERMINATION_REASON_OPTIMAL              ,            1880,   83.46581970000001    ,                         1930,  0.431488496          , 50
ns930473                   , TERMINATION_REASON_OPTIMAL              ,            1720,    0.43587049400000005 ,                         1721,  0.005046433          , 1
bab6                       , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99431,  268.39965176000004    ,                       100000,  0.038651625          , 569
physiciansched3-4          , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99597,  315.057294855         ,                       100000,  0.043058102          , 403
satellites2-40             , TERMINATION_REASON_OPTIMAL              ,           63040,   31.499239724000002   ,                        63113,  0.008899192          , 73
fastxgemm-n3r22s4t6        , TERMINATION_REASON_OPTIMAL              ,            1120,    3.0130641990000004  ,                         1125,  0.034070626          , 5
neos-5076235-embley        , TERMINATION_REASON_OPTIMAL              ,            1320,    2.8241854440000003  ,                         1342,  0.030867016          , 22
triptim2                   , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99777,   70.798103033         ,                       100000,  0.012626197          , 223
sing5                      , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99700,  189.98961708000002    ,                       100000,  0.02641415           , 300
sing11                     , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99086,  234.61847331200002    ,                       100000,  0.030499294000000003 , 914
neos-5118851-kowhai        , TERMINATION_REASON_OPTIMAL              ,            1280,   21.172086542         ,                         1317,  0.18296542400000002  , 37
fhnw-binschedule2          , TERMINATION_REASON_OPTIMAL              ,            7880,    2.2102283750000002  ,                         7964,  0.0054708790000000005, 84
nursesched-sprint02        , TERMINATION_REASON_OPTIMAL              ,            2000,    0.49720485400000003 ,                         2043,  0.004825899000000001 , 43
neos-4533806-waima         , TERMINATION_REASON_OPTIMAL              ,           90680,  237.36839911400003    ,                        90884,  0.039133063          , 204
neos-848589                , TERMINATION_REASON_OPTIMAL              ,            3880,   23.939417469000002   ,                         3892,  0.071394012          , 12
scpl4                      , TERMINATION_REASON_OPTIMAL              ,           65960,  444.07352506300003    ,                        65981,  0.09289738800000001  , 21
mzzv42z                    , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99025,   29.466288019         ,                       100000,  0.005009415000000001 , 975
dolom1                     , TERMINATION_REASON_OPTIMAL              ,               0,    0.005392699         ,                            0,  0.005196671          , 0
gfd-schedulen180f7d50m30k18, TERMINATION_REASON_OPTIMAL              ,            7240,   46.334641595         ,                         7303,  0.076646744          , 63
neos-5123665-limmat        , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99868, 1608.369666317         ,                       100000,  0.19467899800000002  , 132
gmut-76-40                 , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           98734,   27.947189058         ,                       100000,  0.0055965120000000005, 1266
woodlands09                , TERMINATION_REASON_OPTIMAL              ,            5560,   47.237100895000005   ,                         5569,  0.100752409          , 9
square23                   , TERMINATION_REASON_OPTIMAL              ,           33000,   42.607106419000004   ,                        33459,  0.022309416000000002 , 459
neos-3209462-rhin          , TERMINATION_REASON_OPTIMAL              ,            1000,    1.9112849140000001  ,                         1014,  0.024253916          , 14
n2seq36q                   , TERMINATION_REASON_OPTIMAL              ,            1760,    0.570773749         ,                         1783,  0.005478737          , 23
fhnw-schedule-pairb400     , TERMINATION_REASON_OPTIMAL              ,            1840,   10.124108263         ,                         1892,  0.065591223          , 52
leo1                       , TERMINATION_REASON_PRIMAL_INFEASIBLE    ,              40,    0.015226453000000001,                           47,  0.0033383690000000003, 7
shs1023                    , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99030,  566.7232695170001     ,                       100000,  0.06509697           , 970
unitcal_7                  , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99981,   42.899804626000005   ,                       100000,  0.007639296          , 19
neos-3237086-abava         , TERMINATION_REASON_OPTIMAL              ,             240,    0.273776737         ,                          250,  0.013131093000000002 , 10
cmflsp40-36-2-10           , TERMINATION_REASON_OPTIMAL              ,           31000,   14.472654866000001   ,                        31067,  0.009488168          , 67
satellites2-60-fs          , TERMINATION_REASON_OPTIMAL              ,           53800,   18.970898050000002   ,                        53882,  0.006240163          , 82
30n20b8                    , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99871,   17.174415424         ,                       100000,  0.003691938          , 129
rmine25                    , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99987, 3778.1201646550003     ,                       100000,  0.435391197          , 13
neos-3322547-alsek         , TERMINATION_REASON_OPTIMAL              ,            4080,   49.282610601         ,                         4138,  0.131362793          , 58
dc1l                       , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99390,   71.488866414         ,                       100000,  0.013264271000000001 , 610
ns1644855                  , TERMINATION_REASON_OPTIMAL              ,           29160,  101.507854081         ,                        29750,  0.052420274          , 590
academictimetablebig       , TERMINATION_REASON_OPTIMAL              ,            3640,   16.464492171000003   ,                         3678,  0.055665219          , 38
sorrell3                   , TERMINATION_REASON_OPTIMAL              ,             128,    0.44717784600000005 ,                          129,  0.019698193000000003 , 1
map14860-20                , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99094,  429.54169838700005    ,                       100000,  0.059484779          , 906
d20200                     , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           98322,   18.508146259         ,                       100000,  0.004339436          , 1678
supportcase43              , TERMINATION_REASON_OPTIMAL              ,             760,    4.3908093390000005  ,                          761,  0.053481057000000005 , 1
core4872-1529              , TERMINATION_REASON_OPTIMAL              ,               0,    0.008280935         ,                            0,  0.00794451           , 0
neos-5118834-korana        , TERMINATION_REASON_OPTIMAL              ,           63000,  701.341438452         ,                        63084,  0.13783468000000001  , 84
neos-780889                , TERMINATION_REASON_OPTIMAL              ,            3240,    7.504268502         ,                         3252,  0.029373101000000002 , 12
supportcase7               , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99206,  513.925270625         ,                       100000,  0.07531109000000001  , 794
v150d30-2hopcds            , TERMINATION_REASON_OPTIMAL              ,            5080,    0.8933712410000001  ,                         5097,  0.0031602920000000003, 17
graph40-40-1rand           , TERMINATION_REASON_OPTIMAL              ,             680,    3.636003671         ,                          682,  0.058721583          , 2
neos-932721                , TERMINATION_REASON_OPTIMAL              ,             880,    0.268489385         ,                          887,  0.004868074          , 7
supportcase42              , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99925,   51.75609145000001    ,                       100000,  0.010805773000000001 , 75
nj3                        , TERMINATION_REASON_OPTIMAL              ,            3720,    6.079808045         ,                         3726,  0.022376006          , 6
neos-957143                , TERMINATION_REASON_OPTIMAL              ,             960,    0.9311001400000001  ,                          977,  0.014088211000000002 , 17
radiationm40-10-02         , TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,           99956,  264.47864321500003    ,                       100000,  0.033177507          , 44
ns1456591                  , TERMINATION_REASON_OPTIMAL              ,            7360,    1.557861364         ,                         7524,  0.0045471750000000005, 164
neos-3437289-erdre         , TERMINATION_REASON_OPTIMAL              ,               0,    0.003984285000000001,                            0,  0.0038376490000000003, 0
neos-662469                , TERMINATION_REASON_OPTIMAL              ,           15640,    4.124532772         ,                        15746,  0.005415247000000001 , 106
cmflsp60-36-2-6            , TERMINATION_REASON_OPTIMAL              ,           14800,   12.50722796          ,                        14917,  0.01466443           , 117
